Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
34000	-739.6029	-757.7483	18.14538	10	4.160203	0.0190351	0.231638	0.0141216	0.0422083	0.00540244	0.0238442	0.0295191	0.00636711	0.0354146	0.0930877	0.0185582	0.143354	0.0523352	0.0395218	0.0164492	0.0906414	0.0164005	0.106878	0.0554305	0.321174	0.0469247	0.0370752	0.0823089	0.131438	0.0167792	0.0417899	0.0896948	0.162962	0.297934	0.0461314	0.189202	0.203938	0.0535291	0.140323	0.226202	0.462952	0.780573	1.08434	1.67213	5	3.12761
35000	-719.4319	-754.4741	35.04217	10	1.640715	0.0120669	0.0118737	0.115154	0.0451192	4.22724e-05	0.0433322	0.00680424	0.0451146	0.000593357	0.0554105	0.0340342	0.0902002	0.0625837	0.00259356	0.0723073	0.0790804	0.0143568	0.0945561	0.0251458	0.26104	0.143801	0.00593474	0.0812936	0.0442914	0.128599	0.0843068	0.0249435	0.0391408	0.193658	0.0400189	0.193594	0.11658	0.132722	0.160777	0.0556252	0.246264	0.610418	1.05772	2.0856	5	2.516694
36000	-727.2198	-759.7033	32.48351	10	1.814357	0.0638802	0.0801411	0.0649599	0.0986242	0.00281314	0.0158908	0.0759849	0.0332329	0.0412535	0.0583012	0.00141147	0.0769736	0.00767889	0.0248066	0.0963592	0.188413	0.00165078	0.0387218	0.0400137	0.189467	0.0685714	0.016033	0.0451608	0.145585	0.111994	0.166624	0.0208399	0.0143616	0.0483599	0.209649	0.0478203	0.169412	0.0764765	0.116336	0.025285	0.27006	0.6337	1.06457	2.03167	5	2.483087
37000	-734.1415	-762.9209	28.77941	10	2.464734	0.0105604	0.11986	0.0096715	0.00012788	0.00127076	0.0869372	0.0468039	0.0402832	0.0150368	0.0245135	0.00218432	0.0474839	0.00383784	0.0314589	0.00670746	0.0870086	0.0286944	0.104731	0.0783167	0.575654	0.110508	0.0221039	0.0371298	0.171705	0.106528	0.228289	0.178819	0.179726	0.0555691	0.112804	0.105099	0.1576	0.0255429	0.0751269	0.11205	0.343087	0.6968	1.07822	1.8819	5	2.999742
38000	-725.6454	-759.7641	34.11869	10	4.270602	0.0539557	0.100725	0.0801951	0.076901	0.00349848	0.00678845	0.0143239	0.0168165	0.0012475	0.0617673	0.0341948	0.0726718	0.00526311	0.0175156	0.0572688	0.0988882	0.0363468	0.0772666	0.042243	0.254669	0.0869513	0.0182005	0.00693133	0.0315308	0.0600632	0.152793	0.026758	0.1571	0.0286296	0.151325	0.105915	0.144155	0.171677	0.0926183	0.0577376	0.468637	0.784076	1.08427	1.66302	5	2.404932
39000	-729.7877	-758.0476	28.25996	10	2.198467	0.0415558	0.141862	0.0251779	0.0327149	0.00966301	0.0336202	0.06544	0.0174547	0.0349337	0.0402072	0.0602843	0.140762	0.0289644	0.0483555	0.0119958	0.0546339	0.0113755	0.0446569	0.061694	0.20928	0.110874	0.0758317	0.0184646	0.146577	0.225043	0.0309187	0.0991426	0.102235	0.238655	0.158349	0.349479	0.0972963	0.010374	0.0265729	0.0619311	0.315868	0.674585	1.07425	1.9353	5	2.866375
40000	-728.5814	-754.202	25.62058	2	1.829374	0.0213	0.150355	0.00513455	0.00559204	0.00192972	0.011036	0.0181993	0.0265979	0.0185769	0.118556	0.0115115	0.168293	0.0190146	0.0100585	0.0727902	0.135041	0.0109505	0.0496022	0.0486005	0.167234	0.0710797	0.0382102	0.0495601	0.0828371	0.0492826	0.172169	0.0609777	0.0455753	0.0688766	0.144679	0.276457	0.0984502	0.0717771	0.0702458	0.0737558	0.27202	0.63555	1.06507	2.02736	4	2.444307
41000	-725.4678	-758.1541	32.68637	10	1.938208	0.00791542	0.106538	0.0180149	0.0212852	0.001282	0.0330277	0.0284633	0.04843	0.00265332	0.148978	0.0264059	0.14047	0.00386442	0.0324206	0.0121893	0.291272	0.0556451	0.0585196	0.0107329	0.172323	0.0481717	0.00808078	0.217905	0.230733	0.0544166	0.0179641	0.137635	0.0203285	0.121177	0.0434756	0.146243	0.0926034	0.0926054	0.181475	0.0175758	0.285785	0.648278	1.06836	1.99757	5	2.650821
42000	-737.3309	-757.6209	20.28992	10	1.923956	0.0150219	0.0185816	0.0914238	0.109527	0.00650963	0.0176595	0.0950483	0.0217648	0.0771321	0.133879	0.00157237	0.073793	0.00648728	0.0650349	0.00544692	0.0895197	0.0265176	0.125472	0.0925134	0.354091	0.165079	0.0625929	0.00859225	0.00948515	0.00336855	0.0392848	0.087465	0.168424	0.181735	0.203187	0.117799	0.0881595	0.167422	0.11267	0.20448	0.284025	0.646676	1.06796	2.00133	5	3.046739
43000	-725.9675	-757.9443	31.97682	10	2.947734	0.0352918	0.000270184	0.0954745	0.0526521	0.00293456	0.0785762	0.0504756	0.0234161	0.0295546	0.0318318	0.0149287	0.140516	0.0317835	0.0583625	0.0294381	0.0797476	0.0169574	0.058972	0.0501394	0.311993	0.0863941	0.00529963	0.0567816	0.136322	0.0940987	0.0601451	0.0292784	0.118425	0.072616	0.296898	0.00947784	0.137881	0.06715	0.0182855	0.186847	0.385178	0.728592	1.08225	1.80398	5	2.569216
