Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
35000	-386.978	-473.809	86.83094	10	1.143157	0.0409194	0.0299158	0.111612	0.0440528	0.129296	0.0393667	0.0106413	0.0658688	0.0851599	0.0209016	0.00867517	0.164255	0.0822401	0.0824153	0.153159	0.0363069	0.0123039	0.0791789	0.0185231	0.0278702	0.0415686	0.343466	0.148499	0.245958	0.142564	0.034906	0.142073	0.410285	0.0779053	0.164601	0.515923	1.02019	2.29929	5	2.829886
36000	-369.7153	-462.7423	93.02695	10	2.56755	0.0900462	0.0138058	0.0122224	0.0216303	0.0923643	0.0329182	0.00229228	0.0705853	0.056845	0.0169682	0.00413845	0.0253178	0.0937768	0.0235314	0.111103	0.0306724	0.0644057	0.280488	0.00287927	0.0158243	0.210575	0.220258	0.0174159	0.199337	0.0157257	0.183349	0.0625025	0.102807	0.0896968	0.352769	0.704374	1.07936	1.8635	5	2.163482
37000	-375.9298	-463.6105	87.68072	10	0.8830638	0.0464195	0.0317747	0.0269182	0.0201161	0.0237371	0.0591875	0.0837995	0.0263243	0.0483932	0.0318212	0.0360092	0.00612627	0.0252995	0.0367836	0.0482279	0.0587935	0.0505781	0.212512	0.30413	0.00270505	0.045945	0.214741	0.0251077	0.399239	0.102029	0.0311168	0.313188	0.221399	0.0416247	0.113073	0.438545	0.977557	2.47083	5	2.574047
38000	-391.0979	-469.3785	78.28062	10	3.428863	0.0917273	0.0980571	0.00376835	0.021943	0.173488	0.00825459	0.0250271	0.043347	0.0535253	0.0347765	0.114784	0.00375689	0.0327432	0.0498458	0.0384004	0.0291579	0.0279024	0.480689	0.127442	0.137241	0.00592963	0.0084401	0.173051	0.103938	0.00893689	0.544822	0.0471503	0.106717	0.0815416	0.41994	0.752812	1.08395	1.7433	5	2.676403
39000	-382.4786	-464.2056	81.72699	10	1.552448	0.0455038	0.0409016	0.0296781	0.0522644	0.0225288	0.0224688	0.00430139	0.0244029	0.0356244	0.0684907	0.0151405	0.0132077	0.0488677	0.295716	0.00883061	0.206622	0.175616	0.0933768	0.0308934	0.182862	0.107194	0.189339	0.260978	0.307106	0.0664549	0.00688265	0.0463348	0.187802	0.635001	0.233312	0.59706	1.05336	2.11627	5	3.22439
40000	-369.3702	-468.3874	99.01726	10	0.7493332	0.0547767	0.0217147	0.0188839	0.027823	0.0444925	0.00843005	0.0580516	0.00185327	0.129307	0.00518275	0.0408704	0.00456417	0.0169146	0.0255522	0.0350019	0.01164	0.200315	0.291529	0.00925387	0.0654748	0.11454	0.211817	0.0138931	0.0299857	0.41754	0.042306	0.00877721	0.115171	0.169851	0.0847419	0.385906	0.941863	2.58749	5	2.195513
41000	-378.9678	-472.5288	93.56092	10	0.3145499	0.00490766	0.0181184	0.0113944	0.0049659	0.0393527	0.0164076	0.0172379	0.0359111	0.0652236	0.0428975	0.00601922	0.00441145	0.352343	0.0377955	0.0085645	0.0357406	0.192452	0.0260198	0.0194437	0.0741904	0.131779	0.65171	0.0116086	0.312589	0.00754208	0.0205705	0.0310889	0.010957	0.00907209	0.00654957	0.115851	0.619447	3.25815	5	2.200315
42000	-378.2464	-466.8683	88.62188	10	1.591034	0.0338723	0.0150774	0.0200418	0.0545324	0.00795443	0.0210583	0.0233693	0.038431	0.024915	0.0308874	0.0608154	0.0346983	0.130808	0.0125281	0.0833085	0.120035	0.168657	0.027325	0.00898483	0.000942631	0.149766	0.0901261	0.0943626	0.15562	0.303631	0.0323606	0.041861	0.289328	0.0251239	0.239049	0.60304	1.05535	2.10256	5	2.100421
43000	-372.6658	-461.118	88.45214	10	4.415394	0.0298185	0.0461093	0.0010498	0.00125116	0.202896	0.0323608	0.0212907	0.0848754	0.0390055	0.0442038	0.00381195	0.0151584	0.127323	0.100372	0.0164686	0.0577143	0.0215802	0.0279908	0.00638246	0.141392	0.0422656	0.483962	0.00821677	0.0399607	0.769357	0.0196143	0.0391926	0.0547335	0.262105	0.475822	0.788451	1.08414	1.65159	5	2.740462
44000	-375.1065	-459.4282	84.32174	10	6.805956	0.118732	0.0215814	0.0276627	0.012004	0.0683291	0.0478097	0.00395481	0.0580911	0.182117	0.0464208	0.0570199	0.0179488	0.00812908	0.00220816	0.0657498	0.055991	0.00629632	0.0950628	0.0387999	0.0101295	0.0306101	0.275347	0.327164	0.239697	0.0473949	0.322518	0.441931	0.100988	0.221738	0.563292	0.837449	1.07941	1.51985	5	2.951425
45000	-385.328	-471.0334	85.70538	10	1.81634	0.0483771	0.0199223	0.00771619	0.00552669	0.012361	0.0419622	0.0703073	0.0286446	0.0444774	0.0410052	0.0382061	0.0145017	0.205507	0.0314059	0.0775696	0.0419342	0.392962	0.0441796	0.0841597	0.0145577	0.0171292	0.000701616	0.00733297	0.330121	0.53744	0.094563	0.0942497	0.200903	0.0453219	0.27032	0.633945	1.06463	2.0311	5	2.593045
46000	-375.9687	-461.9387	85.96995	10	1.213512	0.0915515	0.0508611	0.0121901	0.00839115	0.130182	0.0401291	0.137214	0.0412811	0.0428317	0.0239847	0.066787	0.0362315	0.0553235	0.0118902	0.0140515	0.0130319	0.079622	0.103503	0.00701257	0.828705	0.163225	0.0753298	0.121768	0.119986	0.084397	0.301258	0.0202075	0.0239806	0.0703408	0.177493	0.532705	1.028	2.2618	5	2.775267
47000	-367.8884	-461.7906	93.90218	10	1.188669	0.0409238	0.0240537	0.0249564	0.0135113	0.0378077	0.0249204	0.0441916	0.0243601	0.0322291	0.0189605	0.020583	0.0188309	0.327461	0.101042	0.0475188	0.0614905	0.0491855	0.122481	0.145337	0.0732812	0.283319	0.137375	0.150736	0.0473765	0.0131341	0.0891092	0.022881	0.00556059	0.136001	0.172994	0.526944	1.02537	2.27469	5	2.138618
48000	-371.8084	-462.3312	90.52286	10	0.8657228	0.00152054	0.0523187	0.0392157	0.0360666	0.113286	0.0417469	0.023778	0.0117227	0.073756	0.0163837	0.0459148	0.0899854	0.0834358	0.0272292	0.061725	0.0417969	0.0174675	0.0204944	0.0159458	0.0124972	0.149135	0.413609	0.0652258	0.072964	0.0505769	0.440395	0.0153551	0.49046	0.00952259	0.109448	0.432308	0.973625	2.48462	5	2.533529
