Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
57000	-42.19278	-90.09109	47.89831	10	1.581442	0.00702539	0.170464	0.0471425	0.0961084	0.148829	0.0606096	0.044646	0.0344014	0.0320184	0.0876947	0.0232448	0.490666	0.0839967	0.0763317	0.170238	0.237634	0.601574	1.05487	2.10593	5	1.573417
58000	-40.27756	-87.26616	46.98861	10	0.8027745	0.0552432	0.139996	0.00133625	0.368158	0.0795345	0.0895399	0.0273018	0.077884	0.0234233	0.576909	0.214829	0.0543811	0.0184652	0.377419	0.116231	0.096149	0.408249	0.957721	2.53788	5	2.220652
59000	-45.42425	-92.37164	46.94739	10	3.233792	0.0675046	0.137125	0.0156278	0.466555	0.0827256	0.1451	0.00466942	0.0387674	0.032097	0.257653	0.145257	0.025852	0.0295675	0.0166775	0.210677	0.406577	0.743703	1.08345	1.76627	5	1.675856
60000	-61.27203	-96.47756	35.20553	2	0.1058024	0.0527291	0.0741255	0.0489638	0.206302	0.0746612	0.305451	0.0588962	0.014218	0.000582913	0.0971591	0.142868	0.137154	0.267816	0.0368529	0.0443871	1.12511e-06	0.00157508	0.109686	3.88874	4	1.562167
61000	-54.35179	-88.51809	34.1663	2	0.01138654	0.0238207	0.00590593	0.0775994	0.372486	0.226264	0.244657	0.00216577	0.0117482	0.0063546	0.136012	0.0719639	0.00112383	0.179509	0.30424	0.028549	7.47716e-54	4.09375e-27	1.79091e-11	4	4	1.692399
62000	-57.16127	-93.61608	36.45481	2	0.06052815	0.0260833	0.0593876	0.0200835	0.157435	0.123531	0.0427847	0.209193	0.0379136	0.0675612	0.0304236	0.0648976	0.0576928	0.172392	0.231615	0.128037	6.28098e-11	1.18153e-05	0.0144046	3.98558	4	1.429031
63000	-51.9928	-90.35131	38.35851	2	0.05666999	0.00334746	0.0787741	0.0329568	0.142096	0.0494443	0.0482766	0.0489654	0.0250778	0.0518703	0.0343185	0.109789	0.0370622	0.199307	0.0201479	0.135329	1.32165e-11	5.42163e-06	0.0104251	3.98957	4	1.016762
64000	-37.33522	-90.41363	53.07841	10	0.3284384	0.00809617	0.0197595	0.145783	0.137703	0.0967774	0.0576828	0.11528	0.0410973	0.0159201	0.327595	0.125354	0.116787	0.00707453	0.179264	0.100349	0.00788338	0.126723	0.640611	3.22478	5	1.494524
65000	-27.437	-88.992	61.555	10	0.1452091	0.00660265	0.0263669	0.00853314	0.263718	0.011352	0.0312602	0.109328	0.00900705	0.0214375	0.0152039	0.031229	0.240468	0.0291586	0.0978612	0.338202	3.91568e-05	0.00925017	0.227331	3.76338	5	1.239727
66000	-37.86012	-88.62698	50.76686	10	1.770612	0.0129627	0.318147	0.0228871	0.216364	0.212626	0.0727625	0.021693	0.0751943	0.00869644	0.0083312	0.512484	0.0877042	0.0757959	0.169351	0.141272	0.264266	0.628171	1.06303	2.04454	5	1.956273
67000	-32.07298	-89.98437	57.91139	10	0.1809873	0.00234655	0.0267453	0.00868743	0.391084	0.0857333	0.0317491	0.00500951	0.124664	0.031986	0.16012	0.0738814	0.179115	0.0964055	0.097199	0.0486003	0.000257135	0.0235771	0.332252	3.64391	5	1.363328
68000	-30.94204	-90.84824	59.9062	10	0.1108914	0.0520177	0.0539768	0.0161899	0.187907	0.0770089	0.00195951	0.0156067	0.00766147	0.0367442	0.189207	0.0997004	0.00265745	0.0504214	0.0137895	0.103647	2.05111e-06	0.00212559	0.124159	3.87371	5	0.9084956
69000	-40.8187	-89.57596	48.75726	10	0.0614726	0.0116258	0.720988	0.00105716	0.169911	0.039652	0.0638691	0.0465942	0.00552727	0.0367129	0.0717457	0.138149	0.109966	0.00370046	0.372905	0.668777	8.9285e-11	1.40859e-05	0.0154949	3.98449	5	2.46118
70000	-27.32846	-89.70403	62.37556	10	0.04291694	0.00949012	0.177895	0.0970515	0.203965	0.0683911	0.0176227	0.00545649	0.0304657	0.0199635	0.0555442	0.0129035	0.00193103	0.251053	0.0127594	0.292128	5.2191e-15	1.07863e-07	0.00205193	3.99795	5	1.25662
71000	-44.69112	-95.25727	50.56615	10	1.826172	0.00656037	0.197049	0.0227663	0.16894	0.24337	0.0972065	0.132613	0.122818	0.0394117	0.0809671	0.169596	0.0771208	0.0446519	0.200888	0.0427972	0.271603	0.635157	1.06496	2.02828	5	1.646756
72000	-37.75007	-90.70611	52.95604	10	0.2709607	0.0480015	0.0323823	0.0129291	0.156866	0.0338826	0.00649749	0.0668544	0.0483325	0.0179376	0.14022	0.011666	0.556269	0.0906292	0.145158	0.40186	0.00323576	0.0821915	0.543656	3.37092	5	1.769486
73000	-37.94832	-93.23807	55.28975	10	0.4341677	0.211528	0.017671	0.172445	0.351224	0.0460895	0.0355089	0.000971253	0.0411557	0.0225918	0.0373716	0.511639	0.100233	0.0632064	0.124448	0.122547	0.0219364	0.206787	0.765757	3.00552	5	1.858629
74000	-41.94635	-92.20232	50.25597	10	0.1346888	0.0158965	0.128405	0.0295907	0.171357	0.0284812	0.127555	0.00648014	0.0125883	0.0121932	0.135621	0.270889	0.0907931	0.432895	0.0177824	0.0076051	1.8606e-05	0.00638495	0.195321	3.79828	5	1.488131
75000	-38.8483	-88.82622	49.97792	10	0.04807185	0.00820019	0.0547009	0.0170983	0.130205	0.164903	0.000122026	0.0384789	0.0246061	0.0133946	0.0749822	0.266432	0.00526463	0.112541	0.0197562	0.106613	1.66548e-13	6.09052e-07	0.00420803	3.99579	5	1.037299
76000	-32.6446	-88.23975	55.59515	10	1.3211	0.0314612	0.10521	0.00255096	0.223242	0.30282	0.0123302	0.071207	0.0846331	0.0547068	0.0733016	0.0273689	0.13873	0.122634	0.0805504	0.199203	0.196317	0.555791	1.03793	2.20997	5	1.529949
77000	-25.12534	-87.46524	62.33991	10	0.2985814	0.0152542	0.0067541	0.0248126	0.122446	0.160672	0.0152977	0.00545166	0.0893296	0.00384857	0.153247	0.244625	0.077816	0.181832	0.00694409	0.0591761	0.00518094	0.103392	0.593413	3.29801	5	1.167507
78000	-34.57848	-92.20769	57.62921	10	0.02788505	0.0736933	0.0637866	0.102048	0.00679984	0.25395	0.0305023	0.0812464	0.0945354	0.0658398	0.00288019	0.26582	0.292823	0.0536246	3.56542e-05	0.0636317	1.43357e-22	1.78995e-11	5.54415e-05	3.99994	5	1.451218
79000	-31.2948	-90.56549	59.27069	10	0.7137723	0.137042	0.0254076	0.0115594	0.184953	0.131254	0.0296829	0.0634922	0.0281334	0.0133337	0.0905955	0.107805	0.0762278	0.0679174	0.137752	0.384021	0.0771321	0.369956	0.929867	2.62304	5	1.489175
80000	-62.84449	-92.2668	29.42231	2	1.716551	0.131283	0.0784467	0.0358727	0.130935	0.0440181	0.126111	0.115714	0.00562203	0.00918495	0.415931	0.0828764	0.0632351	0.373181	0.0647537	0.429916	0.256921	0.621037	1.06096	2.06108	4	2.107081
81000	-66.15538	-89.06952	22.91414	2	2.122974	0.0588841	0.239831	0.140289	0.117358	0.156158	0.0992355	0.0641587	0.0232234	0.0573592	0.20741	0.452662	0.484903	0.0387906	0.292168	0.0387893	0.307525	0.667484	1.07278	1.95221	4	2.47122
82000	-40.86555	-88.88835	48.0228	10	1.932593	0.0242432	0.000609751	0.0161918	0.0473066	0.238354	0.147033	0.0154417	0.0586414	0.0350502	0.200535	0.0496551	0.0672335	0.325416	0.173103	0.177922	0.285093	0.647649	1.06821	1.99905	5	1.576737
83000	-32.87993	-93.23185	60.35193	10	0.1914019	0.0671652	0.0015424	0.0386206	0.110131	0.0847633	0.0138921	0.0548595	0.0737908	0.00985945	0.20454	0.162899	0.0343297	0.0186859	0.0474601	0.112171	0.000389526	0.0289672	0.360847	3.6098	5	1.03471
84000	-20.74245	-87.37208	66.62963	10	0.1523382	0.0018505	0.0454956	0.0420511	0.150936	0.00468906	0.00703528	0.0332573	0.0324944	0.0122153	0.00633179	0.0225798	0.15894	0.0797851	0.0712046	0.139613	6.11467e-05	0.0115481	0.248867	3.73952	5	0.8084793
85000	-37.01035	-93.27593	56.26559	10	0.2961199	0.0214292	0.0308841	0.0169858	0.302344	0.0348079	0.0460364	0.0365654	0.00100309	0.0439482	0.204275	0.0308913	0.066289	0.0772584	0.00503066	0.0270233	0.00498584	0.10148	0.589229	3.30431	5	0.9447718
