Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
55000	-94.61108	-125.5086	30.89757	10	1.815204	0.0780944	0.0181952	0.043687	0.116515	0.0462089	0.0646825	0.191925	0.0120944	0.121874	0.00291952	0.25347	0.270171	0.633805	1.06459	2.03143	5	0.9496664
56000	-99.30715	-120.9316	21.62446	10	0.1897539	0.0542649	0.000310359	0.0607012	0.0377928	0.0258965	0.174512	0.443521	0.261067	0.257576	0.392757	0.0326986	0.000365861	0.0280815	0.356392	3.61516	5	1.741097
57000	-94.12916	-123.5867	29.45759	10	0.5198344	0.0497449	0.0257419	0.0529638	0.00834659	0.0919288	0.0331264	0.189874	0.0683744	0.0169833	0.107886	0.213345	0.0371202	0.264667	0.834181	2.86403	5	0.8583155
58000	-93.00642	-126.4697	33.46327	10	0.1891875	0.108218	0.0823288	0.0174593	0.104854	0.0384748	0.0139461	0.0461111	0.142167	0.127686	0.0982021	0.126824	0.000357974	0.0277799	0.354854	3.61701	5	0.9062712
59000	-104.0866	-121.5176	17.43097	2	2.606281	0.048486	0.00819729	0.0370259	0.0691662	0.0736913	0.0778201	0.347188	0.0269085	0.115011	0.352985	0.1375	0.356307	0.707101	1.07974	1.85685	4	1.293978
60000	-101.1427	-121.0308	19.88805	2	0.8134207	0.0331673	0.0150175	0.0671468	0.0141777	0.04198	0.0105447	0.167054	0.159781	0.169211	0.267987	0.0419341	0.0984112	0.412482	0.960605	2.5285	4	0.9880015
61000	-96.26874	-121.9717	25.70298	2	0.1395039	0.0185563	0.000536895	0.0395544	0.0544916	3.02725e-05	0.0114743	0.219499	0.0585911	0.176783	0.0973419	0.0302554	2.65227e-05	0.00761865	0.209987	3.78237	4	0.7071141
62000	-88.48255	-122.8693	34.38673	10	0.2838912	0.0223716	0.002896	0.0231988	0.159371	0.0364462	0.0404552	0.151729	0.0553436	0.129488	0.136991	0.0282186	0.00407978	0.0920377	0.567731	3.33615	5	0.7865097
63000	-90.65	-120.2238	29.57376	10	0.8874581	0.0218719	0.0566351	0.000923553	0.0107241	0.0808843	0.0467303	0.260887	0.164224	0.035792	0.3903	0.173716	0.113989	0.4401	0.978526	2.46739	5	1.242689
64000	-90.51945	-123.9407	33.42122	10	0.207781	0.0320387	0.0405673	0.058961	0.0560214	0.0733529	0.112327	0.12965	0.108104	0.139869	0.151826	0.00654084	0.000687923	0.0383815	0.403659	3.55727	5	0.9092582
65000	-96.08539	-118.9326	22.84725	10	0.325095	0.038884	0.00217501	0.0138124	0.0235169	0.0230879	0.00836873	0.30868	0.05028	0.339852	0.412813	0.144527	0.00755026	0.124105	0.635637	3.23271	5	1.365997
66000	-89.41879	-121.43	32.01125	10	0.1513668	0.0242645	0.0196331	0.0408307	0.036574	0.147397	0.0055667	0.235103	0.205131	0.268907	0.0117982	0.0186701	5.76863e-05	0.0112181	0.245945	3.74278	5	1.013876
67000	-94.11086	-122.5452	28.4343	10	0.5267103	0.0529221	0.0441538	0.0254602	0.083828	0.0367091	0.0313562	0.161667	0.158684	0.292561	0.186638	0.162001	0.0384388	0.268996	0.838771	2.85379	5	1.235979
68000	-99.08965	-124.1277	25.03801	10	1.007633	0.0471988	0.0211734	0.100761	0.0237875	0.195722	0.299396	0.151046	0.000923567	0.164012	0.397574	0.295955	0.138474	0.479034	1.00125	2.38124	5	1.697549
69000	-90.24059	-121.3389	31.09829	10	0.1558416	0.0147921	0.00490092	0.0409387	0.136528	0.0341289	0.0301147	0.257075	0.0309434	0.133898	0.230767	0.126026	7.49882e-05	0.0127821	0.259367	3.72778	5	1.040112
70000	-96.53064	-129.1374	32.60673	10	0.4831463	0.131499	0.0772985	0.0552584	0.0141618	0.0172396	0.0616867	0.154166	0.053778	0.207921	0.0929258	0.0589779	0.0303081	0.240771	0.807607	2.92131	5	0.9249123
71000	-88.59238	-122.5014	33.90906	10	0.2814499	0.0219852	0.0739273	0.0127579	0.0613124	0.0902554	0.0181493	0.179493	0.119029	0.0877501	0.0605398	0.120689	0.00391148	0.0901661	0.563294	3.34263	5	0.8458887
72000	-113.1992	-124.7148	11.51559	2	3.479152	0.0962095	0.120123	0.0784893	0.156196	0.0241851	0.00116017	0.397449	0.145629	0.611211	0.117397	0.0615417	0.423239	0.755024	1.08404	1.7377	4	1.809591
73000	-95.27463	-121.2383	25.96365	10	0.1927683	0.0252173	0.00910024	0.0233998	0.0118076	0.0689229	0.14717	0.366527	0.0560123	0.220692	0.0110098	0.219448	0.000409969	0.0297104	0.364522	3.60536	5	1.159307
74000	-90.1581	-120.6446	30.48653	10	1.05067	0.0740936	0.0137063	0.0343018	0.0420622	0.0265161	0.0647862	0.328845	0.133398	0.0691041	0.142016	0.0870479	0.146952	0.491469	1.00791	2.35367	5	1.015878
75000	-98.77716	-124.3238	25.54662	10	0.1359683	0.0772145	0.0449482	0.00211049	0.144965	0.00259832	0.0565405	0.0635544	0.178374	0.124914	0.953896	0.0178685	2.04942e-05	0.00670004	0.199218	3.79406	5	1.666984
76000	-104.1265	-125.9677	21.84119	10	0.3389795	0.0322491	0.0860015	0.00685853	0.0363679	0.0551524	0.0554566	0.0730656	0.020727	0.121265	0.0981726	0.186523	0.00898282	0.134966	0.655816	3.20024	5	0.7718394
77000	-104.7893	-122.1194	17.33007	10	2.917634	0.204023	0.0168738	0.040202	0.00864343	0.0470088	0.137585	0.322219	0.0951722	0.0681037	0.295899	0.33935	0.382788	0.726863	1.08208	1.80827	5	1.57508
78000	-109.9446	-124.1846	14.23999	1	0.5357552	0.00670843	0.0557197	0.0814156	0.128695	0.0407148	0.104609	0.321999	0.240805	0.10652	0.24921	0.0564848	0.0401911	0.274618	0.844637	2.84055	3	1.392881
79000	-92.56522	-124.2988	31.73361	10	0.3713407	0.0244742	0.00379766	0.0205327	0.0179104	0.185933	0.197353	0.0976964	0.505951	0.117872	0.0788464	0.00814035	0.0128062	0.160046	0.698307	3.12884	5	1.258508
80000	-105.0454	-122.5481	17.50275	2	0.4046885	0.0283759	0.00659457	0.105012	0.122679	0.0288534	0.00150152	0.299269	0.382864	0.029439	0.0270997	0.315457	0.0173966	0.18525	0.736305	3.06105	4	1.347144
81000	-98.43762	-128.3684	29.93078	10	0.5040177	0.0545793	0.0216526	0.0865607	0.0941303	0.0131911	0.0457426	0.101117	0.236462	0.0954994	0.0463407	0.170262	0.0341348	0.254531	0.82317	2.88816	5	0.9655376
82000	-89.83545	-123.9147	34.07921	10	0.04405976	0.0411039	0.0247085	0.0311018	0.155588	0.0010325	0.0667965	0.108735	0.00794148	0.0405804	0.0179057	0.227023	1.20609e-14	1.63954e-07	0.00244124	3.99756	5	0.7225166
83000	-94.17619	-121.083	26.90681	10	0.2379072	0.0181931	0.0122478	0.026282	0.020342	0.0124587	0.0558039	0.326493	0.0819312	0.080303	0.0251112	0.168253	0.00159527	0.0581066	0.47528	3.46502	5	0.8274195
84000	-96.22211	-121.4968	25.27472	10	1.26768	0.17225	0.0200157	0.0238611	0.0793863	0.192411	0.0111201	0.528051	0.0376687	0.349664	0.1057	0.268567	0.187104	0.544689	1.03327	2.23494	5	1.788694
