Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
30000	-204.2749	-218.5175	14.24265	10	0.554525	0.0180882	0.0248434	0.0927719	0.0348937	0.0306143	0.168058	0.0894558	0.0820873	0.137868	0.00604082	0.363568	0.0774136	0.210503	0.149953	0.146759	0.278417	0.102911	0.274264	0.0741154	0.0277146	0.163426	0.324611	0.0902114	0.225411	0.34391	0.0753361	0.270517	0.0502064	0.151603	0.0942071	0.00508536	0.130998	0.36469	0.211097	0.0476966	0.121857	0.0357614	0.0485257	0.0253645	0.0647762	0.00585309	0.0537192	0.0615454	0.0232763	0.1444	0.043886	0.286029	0.856219	2.81387	5	5.524424
31000	-185.0374	-216.3563	31.31893	10	0.5825134	0.23424	0.099277	0.00960118	0.0170855	0.0162529	0.138593	0.239969	0.0668647	0.0473757	0.0426923	0.141209	0.000300438	0.292668	0.0966039	0.00680066	0.12144	0.0217881	0.245031	0.00867898	0.0507122	0.0320514	0.15527	0.0285869	0.0265457	0.215939	0.0469565	0.062697	0.0595545	0.112035	0.0366994	0.238648	0.163875	0.174495	0.0442399	0.0441435	0.0179884	0.167804	0.14558	0.0561927	0.318268	0.168189	0.00342733	0.0416807	0.0796908	0.0681407	0.0495226	0.302411	0.872129	2.77594	5	4.405881
32000	-192.5677	-220.7123	28.14461	10	0.3224334	0.160434	0.0843823	0.0215709	0.0104535	0.239114	0.0079361	0.188744	0.0530789	0.000971684	0.226961	0.0965897	0.0134692	0.0900862	0.0268197	0.118486	0.0463305	0.0752017	0.185154	0.023344	0.0235103	0.0889587	0.117928	0.188056	0.188618	0.0337976	0.0680346	0.27534	0.118844	0.0744214	0.307238	0.00942919	0.138339	0.0480522	0.0255429	0.0761894	0.127786	0.0308886	0.13915	0.150963	0.201581	0.052064	0.0791813	0.0713497	0.126215	0.0851006	0.00729049	0.122021	0.631623	3.23907	5	4.515708
33000	-202.7549	-231.7961	29.04127	10	0.6867364	0.0733844	0.293551	0.0358171	0.0238711	0.147189	0.260812	0.144931	0.351798	0.0259696	0.0895019	0.0527441	0.0811924	0.00408285	0.0458006	0.0417183	0.0787387	0.0437421	0.216897	0.0428044	0.0540068	0.0815366	0.00740321	0.0307899	0.157591	0.0628491	0.0245603	0.0106015	0.0102164	0.249464	0.0517598	0.0191591	0.0138005	0.0851631	0.291746	0.0170923	0.147014	0.340992	0.0106126	0.0254072	0.0704599	0.243478	0.18595	0.0522999	0.181406	0.0363555	0.0713577	0.357204	0.919852	2.65159	5	4.516262
34000	-198.6129	-224.4379	25.82499	10	0.2463562	0.162941	0.0419935	0.132123	0.0637996	0.109653	0.258392	0.187616	0.0775568	0.00953146	0.0979666	0.0671757	0.00881257	0.0812431	0.126203	0.0528037	0.0899047	0.00745759	0.242546	0.116637	0.139882	0.0453974	0.103846	0.203324	0.112956	0.0869777	0.21831	0.0105708	0.0401021	0.0856278	0.00863285	0.0385897	0.25383	0.28667	0.0417096	0.0991677	0.0951906	0.2608	0.023169	0.0107342	0.33813	0.0644588	0.00373378	0.0165058	0.0983004	0.0635442	0.00194626	0.0640714	0.493738	3.44024	5	4.684517
35000	-203.0338	-217.7811	14.74725	2	0.2004804	0.163721	0.0993947	0.00738098	0.0104722	0.0971725	0.257375	0.215721	0.0680856	0.0371986	0.0127702	0.406362	0.0804104	0.21463	0.000354419	0.00362795	0.0315111	0.0646675	0.506544	0.386395	0.0128035	0.0245399	0.0125768	0.0413061	0.219619	0.0458815	0.00569922	0.297509	0.293436	0.0223178	0.110385	0.0372016	0.0936361	0.123057	0.0193226	0.0320862	0.0453532	0.110708	0.0427627	0.247012	0.00497002	0.0151184	0.0160589	0.137391	0.00884061	0.0114438	0.00054006	0.0340531	0.384911	3.5805	4	4.69483
36000	-209.5766	-228.688	19.11148	10	1.033875	0.347793	0.0681502	0.0249121	0.0525648	0.149206	0.126395	0.0646284	0.0647646	0.0157418	0.0379688	0.273973	0.0649903	0.100556	0.10093	0.0931985	0.206868	0.0806752	0.180947	0.15491	0.0594638	0.00629195	0.0173454	0.0748693	0.0244345	0.161907	0.184974	0.00182435	0.234524	0.101164	0.119342	0.226174	0.22163	0.0294789	0.0701836	0.169745	0.191411	0.0403334	0.252594	0.0907595	0.0288011	0.0370293	0.256471	0.00337951	0.133883	0.0559299	0.143663	0.486702	1.00539	2.36424	5	5.003116
37000	-201.8502	-221.7242	19.87395	10	0.1937571	0.37523	0.0617788	0.449411	0.0792828	0.240517	0.145505	0.215527	0.104443	0.026308	0.0207293	0.223193	0.0153562	0.0661292	0.0885811	0.0267838	0.11409	0.0432724	0.465907	0.0765252	0.110542	0.0469639	0.0914156	0.00862525	0.0998973	0.0580078	0.0456978	0.398375	0.126633	0.0003165	0.151468	0.0714709	0.0358944	0.221572	0.0328145	0.00160486	0.0918526	0.0778557	0.0369601	0.0345465	0.0631055	0.0706623	0.216734	0.294964	0.0582544	0.00402918	0.000425237	0.0302533	0.367169	3.60215	5	5.288833
38000	-195.6339	-219.2221	23.58815	2	0.2613271	0.0898468	0.0227554	0.10697	0.0194418	0.0141452	0.0386607	0.0123713	0.104419	0.00385679	0.068073	0.230774	0.0030978	0.052923	0.0712119	0.148063	0.096819	0.0608245	0.526946	0.0758457	0.114383	0.0600587	0.0465021	0.126611	0.0547923	0.00308606	0.0236357	0.0276498	0.331822	0.0370114	0.0652289	0.0663633	0.00533309	0.15149	0.133476	0.0526064	0.0620027	0.0575903	0.0248007	0.245126	0.0779769	0.108845	0.00304636	0.108066	0.096912	0.178806	0.00268223	0.0749834	0.524772	3.39756	4	4.010266
39000	-206.7255	-225.0553	18.3298	2	0.1869078	0.238987	0.112975	0.080016	0.00720484	0.166935	0.0199261	0.0474582	0.0308023	0.104761	0.117056	0.55167	0.0842366	0.0391384	0.0132926	0.00205773	0.0545725	0.0890846	0.25945	0.227556	0.000280106	0.0208623	0.244637	0.160773	0.104611	0.0171288	0.136432	0.177438	0.00272954	0.00664812	0.0027238	0.0331292	0.18594	0.00136266	0.11364	0.0433801	0.10345	0.0746242	0.222186	0.0389412	0.0463365	0.0197914	0.127741	0.063161	0.218813	0.195755	0.000327472	0.0265804	0.348635	3.62446	4	4.609695
