Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
48000	-141.2134	-139.2248	-1.988609	10	5.372344	0.532682	0.0703694	0.188808	0.248592	0.0475628	0.0201345	0.0195191	0.0840542	0.00251938	0.0434907	0.470547	0.356958	0.0190339	0.0278702	0.00150845	0.00737914	0.570198	0.516844	0.812368	1.0826	1.58819	5	2.711227
49000	-132.4175	-138.8327	6.41519	10	3.172817	0.339899	0.206423	0.260927	0.0692242	0.0810054	0.00114581	0.0347246	0.146821	0.0587567	0.0434151	0.167877	0.0284436	0.222157	0.277193	0.00824579	0.444297	0.020233	0.402205	0.740669	1.08325	1.77388	5	2.410789
50000	-127.5982	-148.3164	20.71819	10	0.2659651	0.396635	0.122153	0.0429364	0.20174	0.0516492	0.0106816	0.0396458	0.024172	0.0442693	0.0418421	0.00449686	0.0160845	0.0115114	0.151944	0.0749658	0.000259409	0.088676	0.00294077	0.0784379	0.533967	3.38465	5	1.323662
51000	-126.7206	-142.8629	16.14226	10	3.034154	0.116378	0.197285	0.175446	0.107901	0.0556126	0.00980077	0.0201241	0.00890522	0.081499	0.0691248	0.128839	0.0135424	0.00269807	0.335418	0.0109641	0.0461737	0.0070328	0.391887	0.733402	1.08268	1.79203	5	1.386746
52000	-107.7731	-139.3292	31.55614	1000	0.5436576	0.335991	0.00902454	0.0320035	0.0444954	0.0291932	0.00966187	0.0260638	0.0174298	0.0445652	0.0168221	0.46057	0.0075396	0.0526531	0.0374164	0.154113	0.00949059	0.0335367	0.0417375	0.279464	0.849608	2.82919	6	1.320569
53000	-130.3818	-137.6642	7.28241	10	1.116085	0.718792	0.134809	0.178902	0.00460874	0.0867525	0.0204817	0.0104901	0.0893314	0.00248468	0.109554	0.00332091	0.169374	0.00850145	0.612672	0.108506	0.0825458	0.240872	0.159517	0.509064	1.01686	2.31456	5	2.581998
54000	-137.6915	-140.522	2.830542	10	3.085496	0.311952	0.0283547	0.234622	0.10591	0.00369912	0.00200497	0.0867276	0.0261022	0.236496	0.242389	0.0623051	0.382628	0.00656801	0.00584054	0.751166	0.147461	0.1045	0.39577	0.736154	1.08291	1.78517	5	2.738727
55000	-124.8221	-137.6894	12.86731	1	0.4616431	0.129527	0.00677503	0.0756648	0.0428666	0.0269251	0.0151968	0.00213237	0.208637	0.0225141	0.0591854	0.074156	0.106292	0.0724368	0.0181625	0.0185573	0.5069	0.152797	0.0265183	0.22614	0.79022	2.95712	3	1.538726
56000	-131.4031	-141.5413	10.13825	2	2.340007	0.389884	0.0603205	0.0204075	0.0300783	0.146471	0.0121731	0.0377818	0.200757	0.168343	0.0478681	0.0345758	0.0910633	0.00509096	0.186486	0.228576	0.0329121	0.091216	0.330743	0.6869	1.07656	1.9058	4	1.784005
57000	-121.5984	-137.9426	16.34422	10	1.659319	0.0807612	0.0387486	0.118293	0.10011	0.0589758	0.00722663	0.0182984	0.0583499	0.00794729	0.0278968	0.052753	0.0993367	0.133829	0.344838	0.0645991	0.020826	0.240402	0.248918	0.613092	1.05855	2.07944	5	1.473192
58000	-104.703	-139.795	35.09198	1000	0.1866432	0.266301	0.0260099	0.0175557	0.0436139	0.0139591	0.0165792	0.00230076	0.0134809	0.0939854	0.0170347	0.00211432	0.115252	0.0337971	0.00775688	0.202123	0.0112044	0.111493	0.000324057	0.0264427	0.34791	3.62532	6	0.9945615
59000	-118.7607	-145.4588	26.6981	1000	0.8282513	0.237173	0.101434	0.0846731	0.0476604	0.0463992	0.00919251	0.0703998	0.0176743	0.358532	0.0532823	0.0681819	0.0327148	0.00273842	0.166554	0.0556535	0.0891445	0.172594	0.101555	0.418264	0.964486	2.5157	6	1.614001
60000	-120.4668	-140.5599	20.09308	1000	1.409853	0.471131	0.0807961	0.0547477	0.0136592	0.0210148	0.0151128	0.0708064	0.0880478	0.0672399	0.00592113	0.021879	0.471347	0.025722	0.522494	0.00970149	0.00295638	0.27096	0.211055	0.57283	1.04466	2.17146	6	2.213537
61000	-105.8506	-139.0018	33.1512	1000	0.4638216	0.229436	0.0741892	0.0510747	0.00988888	0.0381329	0.0128157	0.0206013	0.0273901	0.0916019	0.0612335	0.0682876	0.0017836	0.042295	0.326037	0.0291957	0.00122577	0.0622983	0.0268946	0.227643	0.792048	2.95341	6	1.147487
62000	-128.8586	-138.2204	9.361794	10	0.5109167	0.385267	0.142535	0.0275278	0.0178881	0.0670262	0.00367393	0.00446792	0.0462624	0.0800366	0.0816097	0.0163181	0.0266572	0.592161	0.162266	0.0571695	0.108593	0.212578	0.0354285	0.258983	0.828052	2.87754	5	2.032037
63000	-106.8582	-134.3303	27.47216	1000	1.266255	0.254107	0.0483974	0.188656	0.00068049	0.0223392	0.0145438	0.00508997	0.0083533	0.0172375	0.0375808	0.0430807	0.19101	0.0647912	0.297445	0.235476	0.0628504	0.114265	0.186855	0.544383	1.03314	2.23562	6	1.605903
64000	-136.0208	-141.6075	5.586772	2	0.9058699	0.106495	0.0855165	0.0891539	0.111637	0.00238865	0.0237612	0.0299268	0.037248	0.24865	0.0528066	0.513233	0.00126274	0.495667	0.266667	0.0328102	0.0137599	0.0884648	0.117811	0.446508	0.982466	2.45321	4	2.199449
65000	-113.7161	-140.148	26.43185	1000	1.181724	0.223385	0.00304732	0.00522989	0.0242412	0.00353181	0.00969463	0.0461155	0.143096	0.207395	0.0709941	0.199158	0.0020309	0.0349711	0.0411703	0.4995	0.0214802	0.00429123	0.171725	0.525302	1.02461	2.27836	6	1.539332
66000	-130.7367	-137.4563	6.719557	10	1.117929	0.040317	0.159398	0.282238	0.099613	0.0069053	0.0104111	0.0274653	0.0784698	0.00763092	0.0616267	0.565472	0.132518	0.0619287	0.222143	0.605702	0.00222702	0.257144	0.159865	0.509539	1.01709	2.31351	5	2.621208
67000	-123.452	-140.5208	17.06879	1	0.206395	0.109039	0.0379953	0.0200417	0.0743943	0.037371	0.0134609	0.00760237	0.00292788	0.0286158	0.0115824	0.321347	0.0124443	0.0818813	0.141049	0.199784	0.012011	0.0325556	0.0006579	0.0375443	0.400141	3.56166	3	1.144102
68000	-132.0093	-147.1578	15.1485	2	0.570199	0.376048	0.041047	0.220536	0.0257703	0.044922	0.018396	0.0295067	0.0477194	0.10844	0.0337667	0.0144704	0.0183349	0.0678558	0.0191621	0.30434	0.0161911	0.00361798	0.0470257	0.295295	0.865319	2.79236	4	1.390124
