Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
50000	-379.9547	-393.9369	13.98223	1	3.793088	0.00896885	0.0740541	0.0249743	0.0157319	0.028728	0.0132276	0.0322372	0.032371	0.0167784	0.0103577	0.00250986	0.160791	0.291503	0.0132716	0.164563	0.442621	0.767736	1.08437	1.70527	3	0.8900675
51000	-394.0023	-402.7645	8.762248	1	1.391009	0.0689958	0.0620756	0.164915	0.0818571	0.0403794	0.0228853	0.00346862	0.0238719	0.028872	0.0476343	0.00437495	0.40241	0.305464	0.020252	0.374818	0.207984	0.569349	1.04332	2.17934	3	1.652273
52000	-382.4601	-398.6648	16.20475	2	1.026045	0.0318122	0.0726534	0.0134852	0.0120197	0.0313273	0.0139825	0.0579322	0.0326984	0.0155075	0.0341144	0.00696902	0.248601	0.297784	0.0288515	0.164925	0.142121	0.484443	1.00418	2.36925	4	1.062663
53000	-390.6672	-404.7616	14.09434	2	1.097299	0.0455049	0.054514	0.141651	0.0325898	0.0330029	0.0418484	0.0435278	0.0535807	0.0197124	0.0190217	0.00457578	0.248151	0.288467	0.00164678	0.121921	0.155949	0.504163	1.01442	2.32547	4	1.149715
54000	-391.3329	-399.3329	8.000014	1	0.6021175	0.143871	0.00137015	0.190965	0.0182276	0.0334946	0.0082142	0.0251205	0.0236757	0.0227042	0.0353365	0.00787995	0.234752	0.881314	0.0275233	0.152937	0.0535451	0.313447	0.882395	2.75061	3	1.807386
55000	-386.5208	-399.1652	12.64442	1	1.209324	0.0196929	0.0209282	0.0609648	0.0456629	0.0174735	0.032825	0.0243251	0.0507632	0.0183822	0.141993	0.0110809	0.432189	0.34249	0.0470862	0.0163687	0.176739	0.531746	1.02756	2.26395	3	1.282224
56000	-388.8863	-402.3886	13.50236	1	0.8726151	0.0940647	0.00574297	0.0457172	0.0489777	0.0236427	0.0253668	0.0326879	0.000350058	0.0180443	0.176573	0.0131941	0.352552	0.343994	0.0145488	0.0346463	0.110891	0.434806	0.975209	2.47909	3	1.230102
57000	-388.3625	-402.6081	14.24568	2	0.8993958	0.0683541	0.0262924	0.0193766	0.0384234	0.0048437	0.0334617	0.0221627	0.0434682	0.0287657	0.118183	0.00773224	0.519385	0.351535	0.0115356	0.0213463	0.11647	0.444274	0.981102	2.45815	4	1.314866
58000	-391.2806	-403.3577	12.07703	10	1.324109	0.0213698	0.0487219	0.244813	0.0245869	0.0585635	0.0232305	0.0126653	0.0452441	0.0187075	0.203863	0.0165281	0.668476	0.213018	0.0101669	0.0109031	0.196828	0.556396	1.03817	2.2086	5	1.620857
59000	-397.7263	-400.8744	3.148053	10	4.454587	0.109027	0.0235212	0.0014274	0.0203827	0.0275142	0.0184019	0.0565849	0.0167147	0.0327758	0.334356	0.04628	0.830308	0.398756	0.0514753	0.0135711	0.477716	0.789595	1.0841	1.64859	5	1.981096
60000	-384.5996	-398.3333	13.73374	2	0.5504312	0.035508	0.0334572	0.0183113	0.0589957	0.0226226	0.006927	0.0304174	0.0149537	0.0378653	0.157713	0.0141532	0.568253	0.211151	0.0327623	0.0191111	0.0430738	0.28357	0.853758	2.8196	4	1.262201
61000	-383.1503	-394.1886	11.03835	10	0.8565312	0.00516396	0.0589297	0.0599045	0.0184374	0.0343066	0.029333	0.0374532	0.0202208	0.00554708	0.151557	0.0235524	0.277532	0.381918	0.0218116	0.0179253	0.107519	0.428936	0.971467	2.49208	5	1.143594
62000	-380.0176	-396.4387	16.42114	1	0.6385311	0.0451631	0.0389629	0.00417939	0.000516075	0.0311943	0.00573699	0.00910455	0.0131755	0.017315	0.123387	0.0233546	0.391554	0.239009	0.00847048	0.0105085	0.06114	0.333025	0.899772	2.70606	3	0.9616322
63000	-378.7526	-395.776	17.02342	2	0.4374625	0.0275534	0.0298618	0.0295262	0.000223345	0.018344	0.0285978	0.0344748	0.0229557	0.0235246	0.131899	0.0108553	0.326238	0.294257	0.00336022	0.00157634	0.022469	0.209146	0.768834	2.99955	4	0.983248
64000	-386.6965	-397.7988	11.10226	1	0.2324925	0.0272145	0.0493159	0.119795	0.0294895	0.0144356	0.0134397	0.0324289	0.0247246	0.00927163	0.18222	0.00209678	0.508833	0.485802	0.0279266	0.00713076	0.00139371	0.0543709	0.463083	3.48115	3	1.534124
65000	-375.3951	-400.509	25.11393	1000	0.3848559	0.0513028	0.0578875	0.0127608	0.0126966	0.00876611	0.0190833	0.0421386	0.0221987	0.0301623	0.208069	0.0203429	0.766247	0.566962	0.0107102	0.0310242	0.0145916	0.170356	0.714359	3.10069	6	1.860352
66000	-384.6523	-397.7355	13.08323	2	1.204396	0.022882	0.0629459	0.0223229	0.0189925	0.0341103	0.02172	0.0407388	0.0588162	0.0258111	0.244731	0.00528851	0.440248	0.307626	0.0133984	0.0366062	0.175849	0.530611	1.02705	2.26649	4	1.356238
67000	-389.7145	-403.7315	14.01702	2	1.2993	0.0481895	0.0921489	0.00718821	0.106506	0.0224301	0.0423495	0.0319266	0.0466387	0.00775622	0.174151	0.0134381	0.276049	0.219292	0.0256645	0.00722809	0.192589	0.551342	1.03609	2.21998	4	1.120957
68000	-378.7806	-395.3269	16.5463	2	0.6004626	0.0340843	0.00512133	0.00270566	0.0226272	0.0220328	0.0239967	0.039007	0.0248196	0.00821224	0.122411	0.0247231	0.346552	0.30678	0.0100975	0.00385394	0.0532035	0.312529	0.881555	2.75271	4	0.9970246
69000	-389.1808	-395.5837	6.402901	2	1.603167	0.0257311	0.08616	0.278789	0.036339	0.0272695	0.022689	0.039839	0.0384358	0.0315939	0.262919	0.00858654	0.941675	0.133908	0.00735628	0.0319734	0.240829	0.604874	1.05595	2.09835	4	1.973265
70000	-391.2207	-401.3247	10.104	1	2.150064	0.0671591	0.0273862	0.0194049	0.0480388	0.0212804	0.00344463	0.0717163	0.0185589	0.038731	0.179305	0.02243	0.464168	0.402093	0.0308668	0.0276087	0.310553	0.670078	1.07333	1.94604	3	1.442193
71000	-388.2972	-397.2503	8.953123	10	1.542589	0.0927865	0.0703291	0.076981	0.0548362	0.0184734	0.0268591	0.0311979	0.0475442	0.0399133	0.234375	0.0287844	0.871492	0.434968	0.0195472	0.0194122	0.231827	0.595495	1.05283	2.11985	5	2.067499
72000	-397.861	-405.7803	7.919299	10	2.030381	0.115908	0.110829	0.0453752	0.0243619	0.0405752	0.0230199	0.0280464	0.0427897	0.0388967	0.295237	0.00236946	0.568348	0.463677	0.0952363	0.0409715	0.296875	0.658206	1.07073	1.97419	5	1.935641
73000	-382.9367	-397.8631	14.92641	2	1.02492	0.0737237	0.0324504	0.0376182	0.0262781	0.0438908	0.00483685	0.0205281	0.0151126	0.0271848	0.212357	0.0243151	0.379838	0.246284	0.0221642	0.00840968	0.141899	0.484116	1.00401	2.36998	4	1.174991
74000	-384.5589	-397.9887	13.42974	1	0.7408656	0.0230299	0.0333036	0.0805776	0.0569023	0.0180259	0.0231639	0.055238	0.0284056	0.0168675	0.118434	0.0293806	0.432865	0.317673	0.0119047	0.00476643	0.0829299	0.38219	0.939119	2.59576	3	1.250539
75000	-385.2947	-390.1084	4.813677	1	0.6183557	0.0890178	0.0443354	0.000459866	0.0156909	0.0293762	0.0253188	0.0290411	0.0229072	0.0198419	0.20308	0.0180894	1.064	0.550625	0.00991581	0.00270039	0.0569146	0.322323	0.890402	2.73036	3	2.124396
76000	-383.9	-404.1685	20.26857	1000	3.690406	0.0770879	0.0226042	0.211973	0.0301531	0.00639991	0.0154881	0.0468895	0.0281606	0.076284	0.165223	0.00754387	0.774707	0.270871	0.0108379	0.0379281	0.436502	0.763773	1.08431	1.71542	6	1.782152
77000	-375.7153	-405.033	29.31767	1000	1.323636	0.0147691	0.0645583	0.0421779	0.0135871	0.0302048	0.0274048	0.0161303	0.0367442	0.0209832	0.107194	0.0361783	0.616681	0.213445	0.0331489	0.00270733	0.196748	0.556301	1.03814	2.20881	6	1.275914
78000	-385.0981	-397.3914	12.29333	2	1.724696	0.0220248	0.0398487	0.110776	0.000298936	0.0355021	0.0125577	0.0362189	0.0305686	0.0106763	0.211264	0.0142372	0.422234	0.262738	0.00875646	0.0382273	0.258041	0.622134	1.06128	2.05854	4	1.255928
79000	-380.8323	-394.4647	13.63244	2	0.9528772	0.0272425	0.0418884	0.0298112	0.0179889	0.0236324	0.0180925	0.0176394	0.0216456	0.0360537	0.0829927	0.0110753	0.606019	0.300677	0.0159511	0.0105358	0.127458	0.462115	0.991731	2.4187	4	1.261245
80000	-385.9038	-399.6982	13.79433	10	3.659375	0.0626013	0.0475737	0.106813	0.0442998	0.0239153	0.0151152	0.0473649	0.023578	0.0460487	0.167355	0.00106853	0.37338	0.253791	0.0109543	0.00731281	0.434611	0.76254	1.08428	1.71857	5	1.231172
81000	-392.2329	-398.8499	6.617041	2	0.5182523	0.0811032	0.105218	0.285323	0.0281165	0.0327413	0.0414298	0.0285754	0.0559226	0.00570102	0.235989	0.0025603	0.925778	0.188498	0.0172675	0.00805987	0.0368186	0.263664	0.833108	2.86641	4	2.042283
82000	-385.1903	-398.5489	13.3586	2	0.7122923	0.00308229	0.083518	0.00937236	0.0510795	0.0109521	0.0267122	0.0316749	0.0167573	0.0171523	0.179664	0.013153	0.470367	0.246195	0.0106424	0.0302797	0.0768156	0.369273	0.92934	2.62457	4	1.200602
83000	-385.0416	-398.799	13.75742	2	0.5615364	0.127178	0.05831	0.0502638	0.0165065	0.0402495	0.035535	0.0371832	0.0253301	0.0223049	0.353914	0.005368	0.370126	2.60703e-05	0.172833	0.0327646	0.0452848	0.290203	0.860351	2.80416	4	1.347892
84000	-386.3302	-401.1607	14.83051	1	0.557211	0.00912413	0.0411509	0.0579689	0.00865773	0.0193782	0.00343858	0.0174616	0.0386348	0.00772414	0.311468	0.0138342	0.400616	0.0299607	0.149129	0.0202803	0.0444208	0.287634	0.857814	2.81013	3	1.128827
85000	-391.9568	-406.4318	14.47502	2	0.9272053	0.137942	0.0270861	0.066697	0.00974434	0.0134756	0.0252713	0.020297	0.0175094	0.0490783	0.182622	0.0474004	0.500894	0.00629683	0.116581	0.00223147	0.12221	0.453722	0.986807	2.43726	4	1.223127
86000	-394.9831	-402.3932	7.410078	2	0.3695463	0.112361	0.0155256	0.131015	0.046769	0.0366903	0.0267893	0.0253587	0.0385858	0.0329891	0.43666	0.0150127	0.666952	0.0120476	0.229581	0.00882222	0.0125773	0.158668	0.696105	3.13265	4	1.83516
87000	-382.9379	-396.9195	13.9816	1	1.088066	0.000735971	0.0460995	0.111402	0.0222636	0.027925	0.0288549	0.0449182	0.0409392	0.0378791	0.1615	0.0151016	0.471844	0.00187745	0.147513	0.00178024	0.154183	0.501711	1.01319	2.33092	3	1.160633
88000	-391.8551	-405.0315	13.17641	1	1.058749	0.00460812	0.0335821	0.025295	0.0694367	0.0245599	0.0535039	0.0243159	0.0433142	0.0180879	0.261071	0.0120929	0.497812	0.01954	0.122873	0.0339908	0.148525	0.493725	1.00909	2.34866	3	1.244083
89000	-378.2451	-393.6616	15.41649	2	0.3470243	0.0159752	0.025923	0.0122447	0.00733198	0.00748162	0.00679077	0.0157745	0.0223792	0.0203591	0.362972	0.0192774	0.505068	0.0149892	0.124068	0.00263052	0.00987126	0.14124	0.666951	3.18194	4	1.163266
90000	-379.9422	-397.1879	17.24569	1	0.3858936	0.0843581	0.0463465	0.0144286	0.00443687	0.0158418	0.0154694	0.028198	0.0179837	0.0106755	0.150894	0.013073	0.376443	0.0230166	0.102867	0.000408584	0.014733	0.171142	0.715553	3.09857	3	0.9044406
91000	-385.4576	-400.532	15.0744	1	0.6639872	0.0185296	0.0695364	0.0608061	0.0537375	0.0347515	0.0230105	0.0159413	0.0317956	0.0236081	0.136665	0.00174545	0.500859	0.0188714	0.0994686	0.00443364	0.0665188	0.346031	0.910755	2.67669	3	1.09376
92000	-381.9447	-395.1405	13.19575	0.2	1.776883	0.0183525	0.0649099	0.00292358	0.00109781	0.0301045	0.0384189	0.0453605	0.026689	0.0110785	0.271825	0.00880013	0.537595	0.017862	0.267172	0.02108	0.265104	0.628977	1.06325	2.04267	2	1.363269
93000	-378.1323	-396.4693	18.33698	0.2	0.9161237	0.00281373	0.0335789	0.00485801	0.0458935	0.044235	0.0212817	0.0654123	0.0308378	0.00614047	0.430079	0.0444243	0.372042	0.162266	0.0347973	0.0107219	0.119929	0.450003	0.984582	2.44549	2	1.309381
