Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
34000	-420.9358	-562.6116	141.6758	10	0.2625624	0.0339096	0.0664396	0.036727	0.0417808	0.0630026	0.0730118	0.0127521	0.0249358	0.121114	0.483804	0.0536551	0.0410022	0.00233398	0.0275991	0.0553388	0.00296593	0.0218586	0.0144193	0.0218002	0.248226	0.0528476	0.0849619	0.0286061	0.111437	0.0767437	0.0903553	0.00705848	0.00274965	0.0759005	0.52724	3.39411	5	1.898687
35000	-435.4202	-558.5849	123.1647	10	0.4143043	0.197315	0.0453906	0.0141058	0.0932484	0.145131	0.0261846	0.0182051	0.00256812	0.0838988	1.4107	0.13992	0.0176436	0.00135185	0.00596844	0.189572	0.166837	0.217132	0.0676501	0.020209	0.554235	0.0397674	0.0921463	0.0589325	0.00355604	0.0591825	0.0547396	0.0130797	0.018831	0.192358	0.746307	3.0425	5	3.73867
36000	-448.2122	-563.0627	114.8506	10	1.146762	0.644908	0.015828	0.0996729	0.170258	0.19162	0.0483487	0.00474416	0.0889407	0.508768	1.14236	0.207136	0.0132027	0.0376462	0.0286568	0.186677	0.0747922	0.0277632	0.153757	0.00373742	0.420296	0.107222	0.0606098	0.0555068	0.0712043	0.0377955	0.000150422	0.0805669	0.165273	0.516819	1.02062	2.29729	5	4.482168
37000	-432.1627	-563.5241	131.3614	10	0.232002	0.237466	0.0305321	0.0331663	0.0599554	0.086869	0.143702	0.0300855	0.0169507	0.173654	0.474466	0.118816	0.00150686	0.0239632	0.0221017	0.128291	0.0231791	0.0896356	0.0308928	0.00244788	0.0025495	0.0236177	0.0508914	0.143294	0.0174799	0.016108	0.593877	0.0513082	0.00137633	0.0540361	0.461963	3.48262	5	2.626807
38000	-437.1497	-562.5129	125.3632	10	0.4970934	0.0330239	0.0890151	0.0455287	0.0175932	0.169204	0.074677	0.0546936	0.0074321	0.234824	0.635681	0.106652	0.0723664	0.00282515	0.0568479	0.246349	0.0229299	0.0125577	0.0076059	0.0561061	0.0888152	0.0162609	0.00646501	0.106183	0.307858	0.0946847	0.23074	0.00780738	0.0328503	0.250014	0.818142	2.89899	5	2.804726
39000	-417.6227	-556.252	138.6293	10	0.7137463	0.00641932	0.0584312	0.0690959	0.00571801	0.136227	0.0246714	0.0663883	0.0116232	0.179788	0.572382	0.112932	0.0178249	0.0159908	0.0109667	0.114389	0.010081	0.127098	0.21637	0.0278159	0.501156	0.146151	0.0760982	0.116992	0.0672513	0.0119128	0.0264306	0.0425006	0.0771266	0.369944	0.929858	2.62307	5	2.772704
40000	-421.5294	-554.2974	132.7681	10	0.250788	0.0353	0.0788552	0.0556618	0.0147352	0.147604	0.0893327	0.00897921	0.0313133	0.322662	0.655856	0.0473649	0.00323335	0.00575172	0.0145639	0.127502	0.0387229	0.0380237	0.0748151	0.0116159	0.52718	0.0549369	0.0587751	0.00977011	0.283288	0.0917119	0.054947	0.075888	0.00214869	0.0672596	0.503144	3.42745	5	2.958389
41000	-437.2516	-575.4477	138.1961	10	1.272718	0.177753	0.0165288	0.163158	0.0381355	0.0420259	0.17573	0.0354322	0.00267006	0.321089	0.571689	0.0435678	0.00193836	0.0369519	0.0170471	0.133032	0.0719698	0.108635	0.334513	0.110088	0.0281349	0.101275	0.00120186	0.00774883	0.13391	0.025863	0.00962255	0.0535223	0.187984	0.545765	1.03373	2.23252	5	2.763233
42000	-446.9309	-566.468	119.537	10	0.4498175	0.0579158	0.12397	0.215979	0.0903402	0.160606	0.184307	0.00688064	0.0596332	0.114804	0.461985	0.14043	0.0127012	0.00577641	0.0427912	0.14728	0.042534	0.02177	0.268201	0.0390027	0.0467459	0.0817639	0.0520861	0.165964	0.0053668	0.123699	0.0487533	0.275321	0.024508	0.217899	0.780017	2.97758	5	2.996609
43000	-435.3095	-563.4978	128.1883	10	1.380423	0.311553	0.0595222	0.0615189	0.0975751	0.0955663	0.249212	0.00240814	0.0611991	0.269145	0.792859	0.202294	0.00699355	0.03532	0.0214293	0.17046	0.0250084	0.27805	0.162085	0.350486	0.0739931	0.0294929	0.0448463	0.0104398	0.0552808	0.194959	0.0394099	0.0339368	0.206245	0.567362	1.04255	2.18384	5	3.735044
44000	-441.4648	-567.4513	125.9865	10	0.9516417	0.245071	0.000579468	0.0290169	0.0162587	0.199273	0.0454915	0.0115749	0.0427398	0.0482275	0.661063	0.162814	0.0920896	0.131781	0.0220858	0.200451	0.0457167	0.154072	0.0976087	0.0498976	0.579944	0.209133	0.1693	0.0473411	0.0042237	0.0119789	0.136126	0.0650595	0.127207	0.461718	0.991501	2.41957	5	3.478918
45000	-448.4109	-565.0507	116.6398	10	0.8462082	0.498052	0.0048984	0.0295726	0.0435796	0.220251	0.00203839	0.0242198	0.0131589	0.0779829	1.22273	0.148168	0.145897	0.091864	0.00150358	0.236795	0.0975543	0.138992	0.0724899	0.0744464	0.125178	0.0272996	0.482617	0.0832834	0.289115	0.117145	0.0301691	0.00747216	0.105346	0.425093	0.96898	2.50058	5	4.30647
46000	-437.0026	-557.7276	120.7251	10	0.6174545	0.0330493	0.0447589	0.237692	0.0732432	0.135092	0.0804344	0.00332353	0.0343349	0.24317	0.846774	0.0770287	0.0394065	0.0247843	0.0189924	0.407573	0.0449119	0.0571206	0.0570512	0.131839	0.0671651	0.0158377	0.0710532	0.00487772	0.455124	0.100513	0.00694609	0.292567	0.0567268	0.321836	0.889969	2.73147	5	3.604664
47000	-437.2933	-563.5095	126.2162	10	0.2796674	0.00447636	0.0307759	0.0628281	0.031976	0.125578	0.0761278	0.00744263	0.0558661	0.281327	0.889016	0.0479681	0.0158559	0.00176281	0.0335101	0.265803	0.0389268	0.0747369	0.0569172	0.0586541	0.214584	0.362901	0.0850493	0.00950478	0.192157	0.078247	0.0865016	0.047976	0.00379123	0.088803	0.560023	3.34738	5	3.236471
48000	-439.2665	-563.5901	124.3236	10	0.5720773	0.391836	0.047084	0.121694	0.0376303	0.15209	0.0970506	0.0112019	0.030229	0.265962	0.850913	0.173676	0.122007	0.000232615	0.0187152	0.164527	0.0641233	0.0815212	0.172284	0.110258	0.105648	0.514352	0.0116838	0.0554763	0.107064	0.0291188	0.0213959	0.082375	0.0474049	0.29639	0.866376	2.78983	5	3.84015
49000	-427.3604	-562.0975	134.7371	10	1.807167	0.308642	0.038887	0.0636012	0.0735737	0.143328	0.092269	0.0978365	0.0841377	0.208781	0.963469	0.103645	0.0295994	0.00188809	0.0355045	0.192869	0.0057704	0.11114	0.0596911	0.00888076	0.251783	0.241326	0.126561	0.0138433	0.0533469	0.0522813	0.0978509	0.0453014	0.269117	0.632806	1.06432	2.03376	5	3.505806
50000	-451.1134	-566.5726	115.4592	10	0.4065454	0.0698827	0.0561858	0.0802693	0.0701964	0.220594	0.0549909	0.0918764	0.0138031	0.130433	0.945034	0.134268	0.00818052	0.0145113	0.0200891	0.22392	0.0885103	0.0856149	0.0444393	0.229359	0.124614	0.320664	0.171024	0.0132188	0.0828987	0.148937	0.173537	0.0259272	0.0176699	0.186629	0.738267	3.05743	5	3.642978
