Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
38000	-37.47964	-106.6501	69.17042	10	1.57179	0.173981	0.0480431	0.21002	0.185358	0.0139834	0.023992	0.00630359	0.00922453	0.307846	0.0473148	0.0707939	0.299808	0.0422363	0.0366511	0.397618	0.150298	0.466013	0.0985802	0.137877	0.236202	0.600085	1.05437	2.10934	5	2.725942
39000	-49.5166	-111.4535	61.93688	10	2.389338	0.0398773	0.0341838	0.159134	0.00676704	0.0949635	0.0937652	0.00445853	0.0866902	0.0589115	0.0472364	0.0697866	0.243878	0.33966	0.191691	0.268419	0.234826	0.126928	0.48117	0.312598	0.335707	0.690915	1.07725	1.89612	5	2.894945
40000	-44.00372	-115.4126	71.40892	10	1.29628	0.205956	0.148943	0.0597664	0.228391	0.0660607	0.109015	0.00400936	0.0768197	0.0746544	0.0125278	0.0403358	0.203844	0.0874119	0.02409	0.128812	0.0175546	0.233105	0.365876	0.0223815	0.192069	0.550717	1.03582	2.22139	5	2.109555
41000	-32.34374	-106.9857	74.64199	10	0.7520986	0.0592171	0.128477	0.0193127	0.188887	0.0207068	0.143454	0.0325788	0.0468145	0.0085395	0.0426054	0.0925096	0.219683	0.323303	0.483493	0.0942201	0.0422542	0.189514	0.00657504	0.0452849	0.0853335	0.387109	0.942744	2.58481	5	2.187431
42000	-25.29217	-106.5905	81.29832	10	0.3875764	0.171506	0.0683435	0.155941	0.0137733	0.0725536	0.294886	0.0020826	0.0367101	0.00166611	0.0100182	0.00938179	0.0386208	0.216253	0.181452	0.0209075	0.0834528	0.0507245	0.0174505	0.134278	0.0149637	0.172416	0.717479	3.09514	5	1.580002
43000	-31.35976	-104.3196	72.95981	10	3.242679	0.174057	0.0273451	0.0607752	0.0356003	0.00196874	0.035889	0.00548449	0.0211498	0.0715921	0.0412682	0.0801694	0.241887	0.0673546	0.303096	0.201846	0.138137	0.0873107	0.189026	0.118677	0.407206	0.744137	1.08348	1.76518	5	1.902633
44000	-31.69133	-105.2526	73.56122	10	1.271091	0.107088	0.0267687	0.135359	0.0398286	0.0319079	0.212949	0.0311994	0.00478723	0.027044	0.00422656	0.0537069	0.109312	0.598905	0.015291	0.141747	0.138567	0.00207092	0.333091	0.0269671	0.1877	0.545419	1.03358	2.2333	5	2.040817
45000	-29.59464	-107.146	77.55135	10	0.3429786	0.177898	0.0274299	0.116759	0.062562	0.0217398	0.288586	0.00230104	0.000221957	0.0807348	0.0769643	0.00514405	0.017941	0.128097	0.059561	0.180505	0.257887	0.0467908	0.0922595	0.075823	0.0094192	0.138087	0.661401	3.19109	5	1.719207
46000	-46.60327	-107.3432	60.73995	2	0.2278856	0.0432409	0.03883	0.0348132	0.138133	0.00536344	0.105706	0.0175055	0.00427909	0.114865	0.0219799	0.008266	0.0112765	0.0618877	0.120483	0.00866982	0.110493	0.168864	0.169935	0.107485	0.00123613	0.0512518	0.452474	3.49504	4	1.292077
47000	-63.78111	-109.5369	45.75578	1	2.535353	0.171846	0.069521	0.0919141	0.233133	0.0123304	0.0477364	0.0200652	9.87787e-06	0.0161676	0.028658	0.0703118	0.0566245	0.0340348	0.0674751	0.0805395	0.0537353	0.00436284	0.398527	0.151157	0.349783	0.702056	1.07902	1.86914	3	1.60815
