Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
30000	-362.7536	-391.2184	28.46474	2	1.12914	0.00946914	0.00391541	0.0478577	0.0320423	0.0050152	0.106945	0.0671316	0.0347238	0.0446874	0.00203302	0.0170532	0.0531419	0.0693037	0.00265936	0.0268522	0.020819	0.0238974	0.0697224	0.0192503	0.0917485	0.0173854	0.0351779	0.00431947	0.099749	0.105934	0.0918879	0.0667601	0.0301249	0.123491	0.0188684	0.137963	0.0260311	0.00128599	0.0455898	0.0338381	0.66759	0.0766851	0.161977	0.512401	1.01849	2.30713	4	2.33095
31000	-351.4353	-388.7902	37.35489	10	0.6275084	0.0250274	0.00315278	0.00874926	0.0161615	0.00101268	0.0358058	0.121529	0.0657957	0.0068539	0.00354853	0.0117115	0.00648358	0.00435985	0.00733148	0.0103907	0.00108933	0.0218875	0.030793	0.128491	0.069045	0.0660732	0.0047327	0.0334036	0.128083	0.0303139	0.0139605	0.0203753	0.0394674	0.0181929	0.167676	0.161882	0.10371	0.023426	0.0767461	0.0303513	0.865463	0.0151917	0.0588267	0.327222	0.894729	2.71922	5	2.378268
32000	-380.7854	-398.4855	17.70013	2	0.7383416	0.0306785	0.0264684	0.0412298	0.0382598	0.0489272	0.0566884	0.0890803	0.0185102	0.00800652	0.00856093	0.02838	0.0358827	0.0124337	0.0616181	0.0398204	0.00197438	0.0498782	0.075836	0.0879603	0.0470813	0.155325	0.000750677	0.0154531	1.33053	0.0174595	0.24195	0.141586	0.0218931	0.0440438	0.00384251	0.215448	0.142776	0.0884694	0.12531	0.0839477	0.0764788	0.0749278	0.0823897	0.381073	0.938288	2.59825	4	3.587472
33000	-348.9276	-377.1901	28.26244	10	1.491622	0.0336907	0.0136537	0.0588254	0.0623278	0.022889	0.000754492	0.160356	0.0240972	0.0448248	0.00570684	0.00897567	0.0373415	0.0102323	0.0184978	0.0289126	0.000433138	0.0615796	0.0231424	0.0569869	0.0852072	0.0516942	0.0390219	0.0439256	1.29768	0.0553482	0.0094999	0.0855636	0.060765	0.00530979	0.089002	0.0337806	0.181244	0.00136986	0.068247	0.0172533	0.294833	0.0420494	0.224025	0.587156	1.04993	2.13889	5	3.135022
34000	-348.2551	-382.5029	34.24773	10	1.087835	0.0142375	0.043005	0.0080823	0.0214528	0.0913658	0.000733807	0.182027	0.00344548	0.0206212	0.0105208	0.0371327	0.0367408	0.00947549	0.00327656	0.00309263	0.0172047	0.0527998	0.0355849	0.0407541	0.0390965	0.00511354	0.0257918	0.105589	1.16485	0.0110555	0.0565757	0.0712809	0.0698876	0.00477274	0.0707283	0.00110961	0.106379	0.0936743	0.0119126	0.0720928	0.0215544	0.0618984	0.154139	0.501649	1.01316	2.33106	5	2.624912
35000	-360.4168	-398.3982	37.98144	10	0.2017651	0.0271636	0.0101668	0.0295959	0.0659973	0.013649	0.0406188	0.112782	0.0900543	0.0162215	0.0261809	0.00169031	0.00049264	0.0366003	0.0207443	0.0416458	0.0270209	0.0506703	0.0056937	0.0574699	0.0500823	0.243972	0.0340051	0.0497777	0.977177	0.0169194	0.0514962	0.136673	0.0292708	0.0806013	0.0152979	0.00039264	0.0405384	0.0107493	0.0583777	0.0306809	0.0617045	0.00186867	0.000564273	0.0347999	0.388249	3.57639	5	2.564044
36000	-347.218	-378.4902	31.27222	10	0.7529803	0.0132888	0.0124075	0.0354102	0.00275625	0.00832803	0.0272635	0.109487	0.0118728	0.041211	0.0149186	0.0408653	0.0441327	0.0165405	0.0047732	0.0277389	0.0175413	0.0207548	0.124935	0.0511988	0.0949922	0.0119655	0.000428343	0.238428	0.19333	0.0978504	0.0502072	0.0931939	1.21498	0.0200203	0.0551115	0.0401022	0.00560363	0.0960253	0.0716816	0.053314	0.0562045	0.0983507	0.0855222	0.387492	0.943024	2.58396	5	3.117215
37000	-349.8786	-393.1357	43.25709	10	0.8485102	0.00275709	0.0650975	0.0394919	0.0197736	0.0186154	0.0158266	0.0190769	0.0293252	0.0988911	0.0135029	0.0530362	0.00132217	0.032769	0.00357487	0.0266083	0.00969156	0.0371614	0.027808	0.0885894	0.136467	0.146102	0.113153	0.0126217	0.0165528	0.0644889	0.140004	0.0948995	0.640557	0.0188579	0.00603359	0.016813	0.0136121	0.0418669	0.0225533	0.0404733	0.0053729	0.000148189	0.105831	0.425955	0.96954	2.49867	5	2.133495
38000	-368.033	-395.0244	26.99139	10	4.531187	0.00287973	0.021134	0.0025654	0.0298073	0.00355381	0.143889	0.103501	0.0390386	0.000169057	0.0666474	0.0477253	0.192561	0.0112978	0.0133058	0.0187895	0.0104737	0.0430364	0.0180446	0.0672299	0.216174	0.108962	0.159597	0.109412	0.103936	0.0215028	0.112301	0.0207648	0.367608	0.0502823	0.0170864	0.00275641	0.00173791	0.0174002	0.184323	0.0108698	0.147822	0.0768807	0.481358	0.791783	1.08401	1.64285	5	2.565066
39000	-363.7314	-385.7207	21.98926	10	1.034273	0.00554063	0.00891616	0.100985	0.139771	0.0387262	0.150569	0.162593	0.153548	0.00235191	0.00286737	0.00354612	0.0103269	0.0750027	0.00131621	0.0153896	0.00210955	0.065072	0.0962257	0.0104074	0.0615048	0.066402	0.0909581	0.0274234	0.044613	0.0411347	0.00464404	0.148082	1.35116	0.127451	0.132456	0.0365237	0.0518243	0.0898879	0.00666482	0.0552765	0.136213	0.233097	0.143741	0.486816	1.00545	2.36399	5	3.750579
