Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
33000	-429.8429	-479.3874	49.5445	10	1.965534	0.140509	0.19173	0.0945186	0.0420743	0.13949	0.0196596	0.0794384	0.138457	0.122793	0.0286201	0.0300015	0.143782	0.00672288	0.0226537	0.0118055	0.0967286	0.23718	0.0207851	0.154034	0.127399	0.0296437	0.0412449	0.197659	0.0236295	0.195847	0.172304	0.0531879	0.359796	0.00579482	0.0505989	0.0270582	0.10348	0.000151871	0.289125	0.651298	1.0691	1.99047	5	3.108777
34000	-412.1172	-462.5354	50.41822	10	1.00444	0.194304	0.0217485	0.0428772	0.115909	0.0209158	0.00350637	0.0665482	0.189381	0.0519583	0.0367912	0.024312	0.0583264	0.117243	0.00268403	0.0383421	0.0454216	0.234592	0.102453	0.0822428	0.0943613	0.0437507	0.0960232	0.397792	0.0061843	0.102997	0.0235879	0.0030414	0.0848959	0.0436621	0.0430231	0.134454	0.0050175	0.0241645	0.137839	0.478082	1.00073	2.38335	5	2.552513
35000	-402.0588	-458.3333	56.27452	10	1.931808	0.202425	0.0111824	0.0348829	0.0117466	0.0330905	0.00509368	0.118993	0.122911	0.199841	0.00349647	0.00484028	0.00974049	0.127946	0.0137749	0.0336936	0.0276521	0.236766	0.0115469	0.0459561	0.124945	0.0909826	0.03872	0.110712	0.0209014	0.19897	0.0817298	0.038482	0.0729528	0.0516822	0.512267	0.102371	0.0294774	0.0899635	0.284996	0.647561	1.06819	1.99926	5	2.819735
36000	-400.9049	-464.9574	64.05243	10	3.013326	0.161607	0.0133924	0.0176709	0.0757457	0.0266428	0.00637215	0.0441963	0.129907	0.0569955	0.00842872	0.0325491	0.219739	0.0742236	0.00874985	0.0277335	0.0159187	0.143017	0.00753801	0.390005	0.0800583	0.00291385	0.114965	0.0142398	0.00468533	0.157391	0.0878073	0.0506993	0.0711224	0.0338986	0.0354267	0.0242519	0.0703958	0.0489993	0.39029	0.732263	1.08258	1.79487	5	2.257288
37000	-406.5664	-461.3848	54.8184	10	2.238338	0.138939	0.0916509	0.00350683	0.0491686	0.00549675	0.00262497	0.092888	0.144084	0.106921	0.0269014	0.00684897	0.048346	0.0549607	0.00185008	0.0044866	0.0962785	0.117915	0.0200811	0.0291505	0.0809709	0.0554617	0.00760972	0.0692747	0.0614896	0.134859	0.059425	0.0116436	0.116884	0.0520733	0.315318	0.150291	0.023847	0.021947	0.320157	0.67818	1.07495	1.92671	5	2.203193
38000	-421.1576	-472.1409	50.98329	10	5.222164	0.126735	0.0509705	0.0156414	0.00398016	0.0315864	0.0228889	0.0988474	0.144606	0.151081	0.0838009	0.0113252	0.0971238	0.219063	0.0109871	0.000180856	0.0952757	0.252508	0.00150559	0.0781026	0.313023	0.00381696	0.0833798	0.0194316	0.0275124	0.111057	0.0600437	0.0128305	0.238629	0.0672274	0.00579883	0.0402897	0.0784472	0.11575	0.511051	0.809096	1.08289	1.59696	5	2.673447
39000	-404.3421	-461.7107	57.36855	10	1.231713	0.131063	0.0299247	0.0169989	0.0608522	0.0490413	0.0124355	0.0539698	0.140526	0.0334023	0.0487926	0.0105038	0.0292604	0.0174762	0.00331481	0.000541961	0.0493972	0.199764	0.0325499	0.0382759	0.0173011	0.0234193	0.0311769	0.0659547	0.0153514	0.240201	0.0680818	0.149681	0.454438	0.019361	0.0970886	0.000687946	0.0222407	0.260769	0.180753	0.536818	1.02983	2.25259	5	2.423843
40000	-408.3856	-467.5696	59.18391	10	2.689746	0.127542	0.0285541	0.00410263	0.0921966	0.061204	0.0113124	0.0465661	0.346508	0.0438925	0.0206999	0.00588893	0.0591709	0.122691	0.00710184	0.0188359	0.0398417	0.227316	0.0732277	0.00911225	0.0220574	0.0517278	0.00810087	0.00766988	0.0284599	0.102657	0.0483008	0.00734603	0.269391	0.11637	0.130766	0.0448155	0.102425	0.300776	0.363739	0.712762	1.08049	1.84301	5	2.586627
41000	-438.5844	-476.9141	38.32966	10	2.660785	0.230667	0.0153408	0.0364481	0.152611	0.0219629	0.0432342	0.0785824	0.373962	0.189062	0.0666742	0.0560352	0.0168593	0.0937975	0.0262593	0.0166437	0.0380605	0.317966	0.0866398	0.0743473	0.367366	0.0576465	0.00990422	0.0242216	0.0741629	0.134207	0.0538017	0.0148414	0.0227163	0.532249	0.189263	0.137477	0.0373312	0.0237729	0.361189	0.71083	1.08024	1.84774	5	3.614113
42000	-415.4664	-467.3489	51.88249	10	1.233774	0.166648	0.03419	0.116403	0.0106123	0.00915474	0.0514091	0.0438998	0.277384	0.237858	0.0273267	0.0459956	0.0870474	0.0407652	0.016089	0.000485777	0.108816	0.184063	0.0699997	0.0755775	0.100057	0.0432095	0.0346933	0.0218799	0.19098	0.194877	0.076125	0.000858254	0.17084	0.58932	0.00772203	0.118445	0.0773461	0.112302	0.18112	0.537278	1.03004	2.25156	5	3.34238
43000	-412.1821	-460.9031	48.72101	10	2.571938	0.51902	0.0065538	0.0337508	0.00612097	0.0637842	0.00186807	0.0725803	0.0903452	0.082712	0.00885657	0.000841531	0.0839887	0.0830866	0.0122308	0.00591614	0.0499908	0.180982	0.0292379	0.0233897	0.067133	0.0943442	0.132196	0.112547	0.0115413	0.162867	0.19119	0.149372	0.00665262	0.558191	0.225788	0.0373088	0.065652	0.0524862	0.353173	0.704686	1.0794	1.86274	5	3.222525
44000	-415.1763	-463.6555	48.47918	10	3.146212	0.212764	0.0568328	0.122697	0.0528292	0.0126072	0.0396586	0.0287	0.163733	0.147969	0.012691	0.00619591	0.038461	0.165388	0.0195417	0.00421868	0.0562733	0.175238	0.0906963	0.0294119	0.489253	0.0053705	0.194666	0.0993473	0.0434206	0.0996572	0.193665	0.0499906	0.0759961	0.0319798	0.0359093	0.0396585	0.0452284	0.137581	0.400266	0.739315	1.08315	1.77727	5	2.97763
45000	-400.3919	-458.94	58.54809	10	1.643433	0.177858	0.0828943	0.00744456	0.00270637	0.00913037	0.00147296	0.0337829	0.120219	0.163814	0.00118585	0.0218946	0.079806	0.206587	0.0133517	0.0449744	0.0155194	0.144476	0.166266	0.0397746	0.0284324	0.0197212	0.122784	0.168867	0.0862651	0.110417	0.0490639	0.0127299	0.0569073	0.0523134	0.058474	0.0685581	0.0450104	0.489817	0.246654	0.610811	1.05784	2.08469	5	2.702519
46000	-410.5464	-465.3746	54.82816	10	0.8178815	0.074748	0.036662	0.00712038	0.0244554	0.125945	0.0133733	0.0241324	0.209213	0.0419746	0.00230613	0.0767839	0.0740871	0.0829379	0.00225951	0.0251201	0.0447595	0.113277	0.0697665	0.0674408	0.0844003	0.00340311	0.0544704	0.0589313	0.0116849	0.0163389	0.034913	0.0434927	0.0529534	0.0864064	0.0255062	0.154598	0.0987201	0.651323	0.0993577	0.414235	0.961789	2.52462	5	2.493505
47000	-404.9936	-462.0912	57.09766	10	1.692972	0.15674	0.154267	0.0140235	0.00394342	0.0789425	0.0123212	0.0334208	0.118269	0.209559	0.0960785	0.00372545	0.0669207	0.0656676	0.0062414	0.00578304	0.028821	0.187092	0.0947939	0.103193	0.0657678	0.0589431	0.0467311	0.101784	0.0244449	0.0189999	0.0231679	0.0779448	0.112031	0.0690249	0.0998145	0.123096	0.0857393	0.459602	0.253653	0.617814	1.06	2.06854	5	2.806893
48000	-420.1514	-469.612	49.46059	10	3.006539	0.17108	0.0436383	0.0184861	9.76907e-05	0.0565285	0.00660418	0.170456	0.233383	0.145972	0.00149604	0.0442302	0.162124	0.1193	0.0120254	0.0099877	0.0171241	0.113306	0.0529954	0.251724	0.110831	0.0531004	0.00600253	0.0478323	0.0895593	0.0462823	0.128455	0.0832929	0.759196	0.0813181	0.196737	0.133809	0.125624	0.0958308	0.389767	0.731889	1.08255	1.7958	5	3.588429
49000	-424.647	-472.7342	48.08717	10	1.035673	0.0734763	0.0391371	0.0182601	0.0393284	0.0393872	0.0184993	0.00078142	0.107694	0.0928716	0.00573945	0.0323293	0.146859	0.128488	0.0272701	0.00231562	0.0869793	0.229368	0.0628458	0.149909	0.0342881	0.130462	0.141346	0.445248	0.120285	0.0284188	0.0817667	0.0762492	0.098921	0.177621	0.152867	0.0685019	0.0290544	0.0394897	0.144016	0.487218	1.00567	2.3631	5	2.926056
