Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-24.39607	-43.79608	19.40001	10	0.2137892	0.029119	0.0168271	0.089933	0.0238012	0.044379	0.0425849	0.0286482	0.13983	0.360309	0.0247455	0.0192544	0.000829149	0.0420899	0.418679	3.5384	5	0.8194314
11000	-35.99846	-47.44551	11.44705	2	0.3613353	0.107206	0.00380945	0.0301544	0.195776	0.139328	0.0167908	0.0239356	0.00668285	0.224629	0.170814	0.141688	0.0115542	0.152342	0.685807	3.1503	4	1.060814
12000	-33.48445	-44.79086	11.30641	10	0.2229368	0.189795	0.0684694	0.197793	0.0554292	0.138448	0.15615	0.0101686	0.103456	0.0139992	0.174978	0.280807	0.00108064	0.0479666	0.44084	3.51011	5	1.389494
13000	-39.06841	-45.397	6.328593	2	1.25714	0.195315	0.072014	0.0272346	0.200818	0.00335866	0.00946111	0.0544228	0.410746	0.0417651	0.111578	0.425038	0.185255	0.542417	1.03229	2.24004	4	1.55175
14000	-25.11119	-41.84822	16.73703	10	0.3359207	0.0905701	0.00807312	0.00494972	0.00202553	0.0152526	0.0345309	0.0242282	0.0497536	0.185223	0.0852703	0.212647	0.00865617	0.132576	0.651478	3.20729	5	0.7125236
15000	-29.5671	-44.84061	15.27351	10	0.7766854	0.0819704	0.0104272	0.0673352	0.200493	0.0893955	0.187057	0.00743857	0.133301	0.156171	0.150635	0.101313	0.0905888	0.397575	0.950279	2.56156	5	1.185536
16000	-40.56514	-43.6627	3.097564	1	1.441153	0.0975582	0.181684	0.203277	0.226202	2.43611e-05	0.0665605	0.123532	0.556962	0.0417702	0.180878	0.0737569	0.216087	0.578459	1.04677	2.15868	3	1.752205
17000	-19.3335	-43.23722	23.90372	1000	0.7191765	0.00447326	0.124513	0.00823467	0.0901597	0.110091	0.0369449	0.101127	0.248803	0.125382	0.17107	0.36792	0.0782882	0.372439	0.931772	2.6175	6	1.388719
18000	-20.1461	-43.56763	23.42153	1000	0.5318277	0.104596	0.074699	0.176326	0.0229305	0.0257404	0.113202	0.117017	0.0733871	0.535455	0.0556504	0.0426413	0.0394278	0.272187	0.842113	2.84627	6	1.341645
19000	-19.36247	-47.3123	27.94983	1000	0.2839171	0.192955	0.0578048	0.0681354	0.199734	0.106616	0.0766879	0.0897899	0.000170804	0.0165518	0.173507	0.0882935	0.00408159	0.0920575	0.567778	3.33608	6	1.070246
20000	-17.51412	-45.92296	28.40884	1000	0.3664362	0.0979244	0.156964	0.123605	0.112483	0.0221727	0.0013163	0.0162398	0.0103404	0.103467	0.0359246	0.284665	0.0121849	0.156276	0.692247	3.13929	6	0.9651019
21000	-29.67357	-46.28567	16.6121	10	0.1180169	0.191656	0.0047078	0.00535719	0.0354258	0.157586	0.0566426	0.00182536	0.169709	0.164972	0.0318157	0.0611098	4.35822e-06	0.00309612	0.145017	3.85188	5	0.8808069
22000	-37.84475	-44.4114	6.566653	2	2.20608	0.0969655	0.0172137	0.161673	0.329257	0.00321992	0.0804987	0.00483207	0.0538002	0.0735306	0.0797669	0.589672	0.316693	0.675279	1.07438	1.93364	4	1.490429
23000	-35.022	-44.23699	9.214995	10	0.591099	0.17545	0.0278618	0.143711	0.0800376	0.0711628	0.267063	0.204959	0.127789	0.16229	0.44307	0.00169599	0.0512776	0.307288	0.876709	2.76473	5	1.70509
24000	-35.57162	-43.62427	8.052648	1	0.4786661	0.266139	0.164675	0.130938	0.0317626	0.0661157	0.0544663	0.00887562	0.0494203	0.0818083	0.339968	0.158777	0.029505	0.23776	0.804102	2.92863	3	1.352946
25000	-35.63874	-43.98964	8.350899	10	0.2302142	0.332369	0.142356	0.166299	0.135019	0.019016	0.0257117	0.0337581	0.112177	0.131829	0.450793	0.0169842	0.00131421	0.0528213	0.457863	3.488	5	1.566312
26000	-33.07023	-49.47039	16.40015	0.2	0.1685015	0.0142905	0.0638568	0.0894633	0.0489949	0.0837204	0.0281752	0.145083	0.0344454	0.290926	0.00490898	0.0998937	0.000146031	0.0178035	0.296674	3.68538	2	0.903758
27000	-38.32239	-44.40723	6.084837	1	1.053282	0.232178	0.0816895	0.191769	0.0761601	0.000116314	0.2028	0.0713275	0.321474	0.0706348	0.120879	0.123236	0.147461	0.492201	1.0083	2.35204	3	1.492265
28000	-27.44809	-44.6184	17.1703	10	0.4526159	0.0606781	0.0814379	0.00411746	0.018623	0.011696	0.12015	0.00396676	0.0721816	0.192182	0.0639611	0.311895	0.0249787	0.219861	0.782475	2.97269	5	0.9408892
29000	-32.674	-44.4482	11.7742	10	0.9430183	0.0243045	0.0424425	0.176041	0.00870033	0.313077	0.0851646	0.0242259	0.0320161	0.367131	0.26894	0.162591	0.125449	0.458928	0.989877	2.42575	5	1.504634
30000	-23.59698	-45.33851	21.74153	1000	0.1001767	0.139716	0.0257735	0.182807	0.157214	0.0295385	0.11158	0.0133879	0.182866	0.110985	0.16127	0.474813	5.39536e-07	0.00109132	0.0942281	3.90468	6	1.589951
31000	-32.08345	-44.13923	12.05578	10	2.598071	0.0452371	0.0296148	0.0910945	0.0666715	0.0771423	0.0880868	0.0205587	0.0550229	0.0688525	0.149735	0.192987	0.355562	0.706529	1.07966	1.85825	5	0.8850031
32000	-30.67637	-45.43461	14.75824	10	0.7031976	0.0108576	0.131293	0.242979	0.182454	0.0152896	0.174819	0.018698	0.00166844	0.370743	0.0242002	0.00433569	0.0748714	0.365035	0.926048	2.63405	5	1.177338
33000	-31.91214	-48.14361	16.23148	2	0.3516194	0.135194	0.040557	0.0428008	0.0684122	0.0367506	0.0338612	0.115479	0.0218381	0.131737	0.0165245	0.055447	0.0103975	0.144814	0.673135	3.17165	4	0.6986012
34000	-34.07126	-46.15888	12.08762	2	0.5248985	0.141685	0.0573739	0.0749131	0.0687914	0.0699321	0.237622	0.0123973	0.075001	0.0305341	0.272736	0.0625238	0.0380902	0.26786	0.837572	2.85648	4	1.103508
35000	-25.65623	-45.96885	20.31262	1000	0.2644696	0.104253	0.0989101	0.26584	0.21703	0.0140461	0.0697785	0.13075	0.00501753	0.106122	0.465045	0.19219	0.0028558	0.0773208	0.531023	3.3888	6	1.668982
36000	-22.97745	-44.54529	21.56783	1000	0.9856449	0.0102598	0.0924626	0.267261	0.221812	0.0388668	0.0352319	0.0308434	0.322277	0.0736395	0.129312	0.00163304	0.134081	0.472394	0.99758	2.39594	6	1.223598
37000	-21.15032	-41.49668	20.34636	1000	0.8309988	0.0434469	0.0286571	0.040583	0.045967	0.0233486	0.0607428	0.0931451	0.783391	0.113728	0.166062	0.260814	0.102136	0.419321	0.965187	2.51336	6	1.659885
38000	-35.29663	-43.47917	8.182538	1	1.035888	0.0805178	0.0361969	0.00445894	0.0743206	0.0245493	0.0349788	0.12134	0.0180907	0.35781	0.399421	0.132551	0.144059	0.487279	1.0057	2.36296	3	1.284234
39000	-30.34558	-45.44527	15.09969	10	2.058454	0.0316952	0.00128722	0.0101145	0.0850731	0.136937	0.12227	0.0280518	0.0802209	0.141323	0.043592	0.176391	0.300154	0.661089	1.07139	1.96737	5	0.8569557
40000	-39.85393	-48.06203	8.208098	1	0.2186927	0.0775098	0.16603	0.0231116	0.154345	0.0615519	0.110966	0.251106	0.0676728	0.349261	0.000484987	0.101359	0.000958306	0.0452071	0.430665	3.52317	3	1.363398
41000	-35.29031	-44.05801	8.767701	10	0.3607907	0.118482	0.0733292	0.173163	0.149349	0.107549	0.00551654	0.0506152	0.0747525	0.352096	0.26132	0.131712	0.0114878	0.151922	0.685111	3.15148	5	1.497884
42000	-36.61434	-46.01631	9.401973	1	0.3492631	0.180222	0.0207436	0.0328225	0.0780138	0.0924581	0.20199	0.00255461	0.193047	0.274939	0.0944449	0.0597181	0.010126	0.142982	0.669979	3.17691	3	1.230953
43000	-30.69875	-46.53089	15.83214	10	0.4743171	0.113833	0.0335542	0.157804	0.0638273	0.10043	0.033876	0.074681	0.0165085	0.0254447	0.271959	0.101088	0.0287321	0.234819	0.800642	2.93581	5	0.9930061
44000	-15.3756	-44.75958	29.38398	1000	0.7861232	0.058886	0.125271	0.0376824	0.00618614	0.105142	0.0879078	0.0421261	0.283018	0.069617	0.0422754	0.00217392	0.0926026	0.401487	0.953034	2.55288	6	0.8602868
45000	-24.16074	-43.59741	19.43667	1000	0.4582567	0.0645132	0.324426	0.0383798	0.0670988	0.0708763	0.0202051	0.00246753	0.0310895	0.182173	0.350678	0.509028	0.025937	0.223794	0.787346	2.96292	6	1.660936
46000	-17.50282	-43.97647	26.47365	1000	0.2602329	0.0449831	0.011254	0.0516363	0.116936	0.030235	0.0482284	0.0871429	0.311595	0.00782057	0.076536	0.179466	0.00262337	0.0741731	0.522574	3.40063	6	0.9658333
47000	-38.34196	-44.25237	5.910413	1	0.2227634	0.0557695	0.144692	0.181751	0.288699	0.0689903	0.0880704	0.053031	0.340215	0.122973	0.202181	0.0463873	0.00107545	0.0478529	0.440428	3.51064	3	1.592759
48000	-26.41674	-44.46652	18.04978	10	0.3869794	0.00371597	0.170112	0.0297459	0.0176135	0.0578466	0.0399811	0.0134333	0.135696	0.0880065	0.0837679	0.148925	0.0148817	0.171964	0.716797	3.09636	5	0.788844
49000	-20.45752	-46.28573	25.82822	1000	0.5452062	0.0419528	0.144121	0.181166	0.145003	0.203927	0.0608825	0.00439627	0.177482	0.0365987	0.169631	0.0394083	0.0420421	0.280407	0.850566	2.82699	6	1.204569
50000	-40.50459	-56.58336	16.07877	1	0.644331	0.0177229	0.0323348	0.186336	0.0329263	0.0409244	0.0142162	0.0568908	0.00318267	0.00816224	0.086223	0.0548478	0.0623614	0.336036	0.902353	2.69925	3	0.5337669
51000	-32.77368	-46.89583	14.12216	10	0.3542417	3.15011e-05	0.00573815	0.0352235	0.0920631	0.0209218	0.186836	0.0371588	0.358688	0.0661887	0.0607539	0.292542	0.0107039	0.14685	0.676608	3.16584	5	1.156146
52000	-31.1104	-43.16702	12.05662	10	0.823452	0.184393	0.0968875	0.142086	0.0116448	0.0498723	0.0451003	0.0308074	0.324143	0.00484313	0.239448	0.0521719	0.100538	0.416407	0.963247	2.51981	5	1.181397
53000	-24.58175	-46.75609	22.17434	1000	1.034658	0.133901	0.0694351	0.0927024	0.499897	0.0373275	0.0360142	0.061786	0.0469879	0.178738	0.0470402	0.120759	0.143817	0.486927	1.00551	2.36374	6	1.324587
54000	-19.0563	-46.45212	27.39582	1000	0.2044145	0.0493633	0.185422	0.0299915	0.139255	0.045045	0.175133	0.0373645	0.195539	0.120678	0.00142055	0.00186706	0.000616612	0.0363604	0.395081	3.56794	6	0.9810791
55000	-23.45072	-44.97718	21.52646	1000	0.305669	0.0470505	0.121764	0.0699079	0.13246	0.0201329	0.0296549	0.265188	0.0872873	0.141361	0.33115	0.114861	0.00576643	0.108912	0.605202	3.28012	6	1.360818
56000	-18.70607	-45.22269	26.51662	1000	1.239014	0.0266335	0.0149325	0.0376085	0.00700128	0.0250877	0.121808	0.0342027	0.187587	0.0746748	0.018284	0.14776	0.182052	0.538442	1.03055	2.24895	6	0.6955801
57000	-31.76821	-46.42187	14.65366	10	2.769644	0.103307	0.101684	0.0127946	0.0291832	0.0561271	0.0949286	0.0756722	0.119401	0.0312048	0.069355	0.131574	0.370617	0.71792	1.08111	1.83035	5	0.8252313
58000	-22.91546	-44.75978	21.84433	1000	1.897806	0.382778	0.0482784	0.0130439	0.0281322	0.0208635	0.161302	0.0801496	0.135484	0.180208	0.168373	0.217404	0.280763	0.643687	1.06721	2.00834	6	1.436016
59000	-30.30955	-49.95429	19.64474	1000	0.161221	0.013472	0.0613521	0.0492741	0.157813	0.463945	0.140939	0.0198796	0.00863566	0.0724716	0.154909	0.109699	0.000100822	0.0148095	0.275352	3.70974	6	1.25239
60000	-17.20059	-45.48395	28.28336	1000	0.228792	0.0707298	0.102492	0.0291722	0.137068	0.0123244	0.00626845	0.00364919	0.0191501	0.00267405	0.40335	0.0893178	0.00126615	0.051861	0.454578	3.49229	6	0.8761959
61000	-44.98467	-48.18699	3.202314	1	0.3445207	0.121104	0.111412	0.213244	0.187482	0.00975727	0.0887263	0.125246	0.0118303	0.261502	0.69754	0.0235494	0.00959025	0.139289	0.663528	3.18759	3	1.851394
62000	-40.62041	-48.86996	8.24956	1	0.954122	0.00921346	0.136187	0.294555	0.0407758	0.231214	0.0594389	0.0611921	0.0179626	0.374257	0.00805907	0.0528534	0.127712	0.462514	0.991962	2.41781	3	1.285709
63000	-24.51187	-44.12077	19.60891	10	0.3022075	0.0410283	0.0304253	0.0287661	0.0293507	0.0347667	0.00698111	0.00266576	0.0635427	0.170311	0.296224	0.0298904	0.00547608	0.106213	0.599492	3.28882	5	0.7339522
64000	-30.12653	-48.2281	18.10157	10	0.3398581	0.00542389	0.113269	0.0640545	0.261195	0.0266302	0.066988	0.00177649	0.155221	0.127254	0.0230797	0.00222596	0.0090778	0.135652	0.657052	3.19822	5	0.8471165
65000	-34.27272	-46.2489	11.97618	10	0.08692489	0.0465245	0.108846	0.216753	0.0607014	0.0312569	0.130587	0.0925996	0.157659	0.107786	0.327267	0.0419789	6.55716e-08	0.000380907	0.0609042	3.93871	5	1.321959
