Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
37000	-449.7208	-510.8091	61.0883	2	0.4464592	0.0229413	0.0424064	0.0240726	0.0103766	0.0181938	0.078191	0.0252946	0.00889955	0.00871051	0.146064	0.00674774	0.00992047	0.00598584	0.0216568	0.00782751	0.00220065	0.0311689	0.0130164	0.048756	0.114083	0.102135	0.0305242	0.184227	0.0047045	0.178957	0.284838	0.106527	0.0188988	0.11276	0.00457667	0.213781	0.0645263	0.25151	0.0382795	0.00818424	0.116628	0.112527	0.0239474	0.215534	0.777032	2.98349	4	2.480098
38000	-438.7505	-503.857	65.10652	2	1.123854	0.117388	0.128889	0.0270958	0.00580335	0.0246651	0.0879277	0.00338993	0.0196651	0.0198518	0.0228899	0.0123638	0.0349081	0.00304889	0.0423864	0.00900205	0.0116307	0.0317781	0.0308387	0.00636718	0.183438	0.0558107	0.137526	0.108068	0.0901868	0.0270649	0.256702	0.0174073	0.165556	0.0578909	0.0416721	0.0789058	0.0169208	0.0443761	0.0060269	0.0381757	0.225462	0.00902275	0.160983	0.511057	1.01783	2.31013	4	2.200102
39000	-446.264	-505.9154	59.65146	2	1.55574	0.1041	0.0120656	0.000639672	0.0536114	0.0321725	0.232618	0.0576532	0.00724141	0.0189779	0.0312045	0.0155084	0.0044875	0.0295544	0.00315324	0.0146941	0.0682212	0.00109073	0.0282821	0.0323436	0.14444	0.0585146	0.0977079	0.113946	0.355288	0.0501726	0.440836	0.198121	0.0687297	0.0842468	0.0191629	0.00261493	0.0319023	0.0113016	0.0043928	0.0139114	0.118258	0.0170752	0.233806	0.597579	1.05353	2.11508	4	2.578242
40000	-440.0761	-500.94	60.86388	2	2.971399	0.140592	0.00785475	0.0382918	0.0115909	0.0142758	0.146383	0.000688448	0.00987342	0.0183211	0.00699653	0.000618219	0.0177828	0.0547379	0.0240761	0.0209955	0.0351064	0.031609	0.0666982	0.00582917	0.122144	0.240082	0.190192	0.164949	0.171709	0.0105145	0.0823903	0.238372	0.00398572	0.127239	0.0338637	0.0559041	0.00326865	0.119698	0.0149649	0.0662949	0.253885	0.175357	0.387037	0.729932	1.08237	1.80066	4	2.727134
41000	-466.7062	-509.4952	42.78898	2	1.594541	0.471667	0.0532835	0.0290182	0.00669538	0.00346183	0.425624	0.00917707	0.0218899	0.0280207	0.0967892	0.00213702	0.0055357	0.0250425	0.0276822	0.0017295	0.1742	0.0756922	0.0457086	0.111904	0.068698	0.147694	0.185445	0.321802	0.0754094	0.551241	0.0641618	0.081941	0.0584389	0.13989	0.00564147	0.150195	0.18409	0.0312505	0.0116147	0.00825807	0.400369	0.0781559	0.239565	0.603572	1.05552	2.10134	4	4.179553
42000	-443.3919	-505.6562	62.26424	2	3.176184	0.170884	0.0143937	0.07105	0.0190483	0.0205401	0.169486	0.0731147	0.0169188	0.00375786	0.1184	0.00080642	0.0364378	0.0146382	0.0114138	0.00900895	0.0131847	0.00776676	0.041366	0.0519889	0.146431	0.174419	0.18417	0.141347	0.0487437	0.228005	0.0636746	0.048191	0.00507487	0.0153727	0.0131294	0.021779	0.0645734	0.0293041	0.0300882	0.0668654	0.209449	0.196816	0.402449	0.740839	1.08326	1.77345	4	2.551637
43000	-443.4534	-499.6585	56.20508	2	2.563319	0.237055	0.0513207	0.000818429	0.0419655	0.00205589	0.110208	0.0179213	0.0168364	0.0245934	0.0251758	0.0593973	0.00983653	0.0131592	0.0139809	0.00489383	0.0612536	0.0112144	0.0159401	0.0588961	0.161565	0.122142	0.209381	0.169421	0.258427	0.0986983	0.0855263	0.0040626	0.0118352	0.0622385	0.00751483	0.0107159	0.411593	0.000778183	0.0164072	0.0529543	0.0415991	0.249391	0.352379	0.704072	1.07931	1.86424	4	2.750773
44000	-452.9433	-507.0087	54.06548	2	2.014842	0.2522	0.0254035	0.0295679	0.000636091	0.0257367	0.206139	0.0154371	0.0134886	0.022332	0.0832835	0.00643043	0.0218615	0.0078619	0.0372749	0.00372997	0.0896569	0.00624554	0.0727944	0.022463	0.117161	0.0788248	0.131277	0.107457	0.193004	0.0152767	0.0702196	0.265047	0.0052646	0.168806	0.0553146	0.00841452	0.425061	0.0618212	0.0313492	0.0530849	0.0139477	0.332226	0.29504	0.656583	1.07036	1.97802	4	3.076098
45000	-444.3188	-501.0704	56.75158	2	1.976292	0.239043	0.00459988	0.00721602	0.00597524	0.0164661	0.308596	0.0230782	0.0133695	0.0391456	0.0904998	0.00111074	0.00207522	0.0410531	0.0201616	0.00570535	0.0618869	0.0684539	0.0757574	0.024565	0.0982608	0.194888	0.070317	0.190242	0.284105	0.00503383	0.00486256	0.131604	0.0138484	0.067244	0.0251735	0.00122846	0.00214345	0.126491	0.0375485	0.00563027	0.111962	0.301237	0.290428	0.652469	1.06938	1.98772	4	2.720579
46000	-453.3471	-505.7419	52.39482	2	1.239285	0.188098	0.0654017	0.0220145	0.0173606	0.0329759	0.0670187	0.0110737	0.0041297	0.011923	0.101731	0.0263087	0.0207873	0.0181098	0.00322084	0.00383951	0.0271116	0.0297692	0.136877	0.00267048	0.089302	0.255414	0.0871703	0.136116	0.176109	0.0463464	0.0274155	0.150346	0.00471443	0.118877	0.0132639	0.0466156	0.101345	0.15582	0.0222006	0.0101136	0.545902	0.346705	0.1821	0.538503	1.03058	2.24882	4	3.124199
