Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
45000	-27.1958	-56.90523	29.70943	1000	0.8136247	0.0319922	0.138342	0.165123	0.0431431	0.0693694	0.0164039	0.0764645	0.0261951	0.0223575	0.0554738	0.0152215	0.196273	0.153349	0.0984545	0.412562	0.96066	2.52832	6	1.009708
46000	-33.75884	-59.18313	25.42429	1000	0.4423724	0.15321	0.356074	0.0491009	0.007469	0.19944	0.0740624	0.0618976	0.0207579	0.0659414	0.0193472	0.312489	0.112335	0.130471	0.0232715	0.212642	0.773344	2.99074	6	1.562595
47000	-35.09727	-50.73116	15.63389	1	1.651309	0.020332	0.0239115	0.0263419	0.11609	0.00264319	0.0372866	0.0141385	0.0247364	0.0493678	0.231459	0.0590355	0.097196	0.0158131	0.247779	0.611946	1.0582	2.08208	3	0.718352
48000	-36.20618	-51.63602	15.42984	10	1.760231	0.0251882	0.085759	0.086162	0.0420986	0.0986866	0.0104362	0.0150391	0.0111262	0.0330161	0.139322	0.765115	0.0152293	0.0026357	0.262871	0.626828	1.06264	2.04766	5	1.329814
49000	-22.59617	-50.14318	27.54701	1000	1.822514	0.0365903	0.0598912	0.0681593	0.0208032	0.0655229	0.0149273	0.0171173	0.001129	0.0819022	0.149572	0.127083	0.0254956	0.302996	0.271126	0.634708	1.06484	2.02933	6	0.9711896
50000	-26.36387	-56.71044	30.34657	1000	1.380139	0.035687	0.0256806	0.0384362	0.134089	0.0809798	0.0404242	0.0289247	0.00470863	0.180805	0.050645	0.0747325	0.103501	0.110968	0.206199	0.567308	1.04253	2.18396	6	0.909582
51000	-38.27809	-54.19814	15.92005	2	0.9786237	0.118377	0.0852952	0.0206878	0.112969	0.00192089	0.0381152	0.106274	0.0138495	0.0428106	0.0181359	0.0138205	0.202122	0.0853175	0.132669	0.470231	0.996366	2.40073	4	0.8596946
52000	-39.50851	-56.75189	17.24339	0.2	0.4599495	0.0391695	0.0652605	0.041638	0.000251782	0.0336671	0.0254666	0.0371586	0.0275247	0.235201	0.0321006	0.0221122	0.0123814	0.0613004	0.026227	0.224968	0.788787	2.96002	2	0.6332327
53000	-36.60954	-50.64984	14.0403	10	1.318122	0.014141	0.197102	0.0261195	0.106239	0.0157497	0.0358341	0.0252514	0.0122284	0.0623693	0.127747	0.529963	0.00599408	0.145844	0.19581	0.55519	1.03768	2.21132	5	1.304583
54000	-34.66481	-50.62149	15.95668	10	0.7373116	0.195779	0.00572826	0.037695	0.0828393	0.0454972	0.0267485	0.0105859	0.0150231	0.290644	0.087722	0.0457818	0.337602	0.0836493	0.0821692	0.380615	0.937947	2.59927	5	1.265295
55000	-29.96102	-52.72769	22.76667	0.2	1.30608	0.0249625	0.0482505	0.0345598	0.0265359	0.109675	0.0225956	0.0324236	0.0425024	0.138251	0.655527	0.0234846	0.0587966	0.116481	0.193753	0.552737	1.03667	2.21684	2	1.334047
56000	-19.03642	-54.26876	35.23235	0.05	0.8455412	0.0927677	0.00351388	0.0321436	0.0587162	0.00523305	0.0105751	0.0990951	0.0101879	0.411306	0.0406073	0.0681317	0.036145	0.031283	0.105206	0.424843	0.968817	2.50113	1	0.8997056
57000	-31.65934	-56.89095	25.23161	0.2	0.5883943	0.0206822	0.0781452	0.0690066	0.00618029	0.0277843	0.0307127	0.018348	0.0291823	0.176502	0.172874	0.0119462	0.00760917	0.00796798	0.0507235	0.305759	0.875281	2.76824	2	0.6569411
58000	-44.01406	-54.24133	10.22727	10	2.084958	0.0669322	0.161473	0.0942057	0.285835	0.0186851	0.0749165	0.0495812	0.00770404	0.44187	0.0376501	0.110601	0.0607054	0.0655538	0.30321	0.663754	1.07198	1.96106	5	1.475713
59000	-42.53569	-54.72	12.18431	1	0.4854318	0.13811	0.0236253	0.0224575	0.0433063	0.0015763	0.062675	0.0127347	0.081425	0.0442213	0.116328	0.167011	0.0171791	0.449248	0.0307204	0.242299	0.809372	2.91761	3	1.179898
60000	-38.36587	-52.61432	14.24845	10	0.6801976	0.125039	0.0286243	0.118163	0.0349211	0.0186288	0.0850319	0.0317383	0.0117957	0.110808	0.03921	0.118877	0.066987	0.622884	0.0699645	0.354035	0.917303	2.6587	5	1.412709
61000	-43.49752	-56.86504	13.36751	2	0.5383056	0.0247067	0.0383964	0.137069	0.0159157	0.0171651	0.0175528	0.202231	0.0190447	0.136481	0.13536	0.0091483	0.0871964	0.0731157	0.0406886	0.276189	0.846257	2.83687	4	0.9133825
62000	-39.24028	-53.48925	14.24897	10	2.503608	0.0679288	0.123107	0.0317928	0.00194774	0.00624649	0.0692455	0.0130422	0.147293	0.135849	0.0235709	0.314072	0.0814735	0.138568	0.346798	0.699723	1.07867	1.87481	5	1.154136
63000	-37.45503	-53.74869	16.29366	2	0.9491006	0.135761	0.00673584	0.0426862	0.0329302	0.059956	0.0419794	0.00248876	0.0397855	0.0128525	0.25772	0.0268159	0.0243429	0.080263	0.126689	0.460899	0.991026	2.42139	4	0.7643169
