Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
33000	-317.5327	-409.1235	91.59073	10	0.3130397	0.00415084	0.00199806	0.109543	0.119776	0.0061434	0.0301519	0.085945	0.00342721	0.0601527	0.0810574	0.00663382	0.0158139	0.179971	0.0527962	0.0740713	0.00590945	0.0961151	0.0780671	0.0222614	0.138715	0.161914	0.0877111	0.0339758	0.0469267	0.0203938	0.134147	0.306343	0.0181257	0.011686	0.00641253	0.11467	0.617065	3.26185	5	1.993921
34000	-338.3794	-406.7104	68.33099	10	0.8248534	0.0251635	0.00689923	0.190363	0.150033	0.0699611	0.0868895	0.342976	0.0115148	0.0902353	0.0501812	0.0475286	0.101249	0.26163	0.00523448	0.0798752	0.0038685	0.178942	0.299938	0.223895	0.0716009	0.303255	0.0374122	0.159139	0.103578	0.230014	0.0989658	0.369434	0.199129	0.211603	0.100835	0.416951	0.96361	2.5186	5	4.010508
35000	-337.3721	-404.4255	67.05337	10	2.754842	0.0139586	0.0132723	0.166042	0.33098	0.189803	0.0105311	0.173855	0.0241489	0.0719594	0.00439737	0.212765	0.0540797	0.0509503	0.0818704	0.118914	0.0544639	0.191762	0.0430809	0.0797903	0.532002	0.443295	0.0443229	0.263303	0.0226679	0.0999598	0.0981438	0.166648	0.355677	0.0995835	0.36936	0.716983	1.081	1.83265	5	4.012229
36000	-334.3716	-411.3497	76.97811	10	0.5755598	0.0222727	0.0118944	0.167806	0.206235	0.075583	0.076012	0.0497091	0.00222323	0.113107	0.0151173	0.0501018	0.152445	0.143086	0.134437	0.0857833	0.0234284	0.126602	0.0150804	0.0243398	0.0258815	0.175797	0.222609	0.429445	0.183755	0.00274776	0.09758	0.0622414	0.210028	0.145838	0.0481096	0.298411	0.868319	2.78516	5	3.051185
37000	-323.0941	-412.5519	89.45775	10	0.1442016	4.24412e-06	0.018132	0.100497	0.0548389	0.068548	0.0118184	0.06545	0.017755	0.105562	0.0288355	0.0843714	0.0119519	0.0206002	0.222716	0.106496	0.0109896	0.0119492	0.0263927	0.172864	0.0216313	0.111289	0.421206	0.0189912	0.0376157	0.0234622	0.0129311	0.169573	0.0199984	0.508593	3.66356e-05	0.00894862	0.224273	3.76674	5	2.485064
38000	-340.2305	-411.6493	71.41879	10	1.877696	0.0277701	0.0753823	0.309345	0.174724	0.101775	0.0321372	0.131127	0.00655374	0.0697982	0.0193956	0.139042	0.0957752	0.1437	0.13998	0.207711	0.0235943	0.00757885	0.231323	0.249016	0.106808	0.116916	0.542708	0.176551	0.121256	0.182305	0.222697	0.0826938	0.0259413	0.0410584	0.278225	0.641344	1.0666	2.01383	5	3.804663
39000	-337.7683	-413.3996	75.63128	10	0.8883368	0.013168	0.000211898	0.162375	0.0610416	0.17046	0.0125809	0.116753	0.134362	0.0427487	0.072425	0.139502	0.0148632	0.028378	0.17678	0.220378	0.0394574	0.0906437	0.0822065	0.0287121	0.083066	0.0841659	0.20606	0.0549445	0.0973023	0.265858	0.333068	0.133637	0.360096	0.232073	0.114172	0.44041	0.978718	2.4667	5	3.457317
40000	-336.544	-410.0074	73.46341	10	1.626685	0.00775869	0.00728598	0.278105	0.250888	0.118294	0.0648756	0.0239	0.017637	0.15799	0.0157334	0.219705	0.0397875	0.0201816	0.17831	0.239282	0.0278796	0.0660196	0.0170533	0.0351367	0.0523288	0.0605943	0.127634	0.106549	0.145618	0.18959	0.105839	0.196566	0.569443	0.0183059	0.244246	0.608369	1.05707	2.09032	5	3.358291
41000	-332.3065	-411.1022	78.7957	10	0.9290759	0.0140551	0.00413529	0.182255	0.0719286	0.223942	0.142588	0.118234	0.11427	0.132226	0.0497942	0.0613777	0.053288	0.0839811	0.160349	0.290871	0.00447949	0.00713103	0.0330282	0.0589344	0.223477	0.202313	0.678001	0.0401024	0.000883946	0.018926	0.380351	0.130411	0.0872259	0.0122848	0.122594	0.454344	0.987177	2.43588	5	3.580845
42000	-331.4351	-409.6723	78.23717	10	0.7232847	0.000265608	0.00159361	0.182664	0.103896	0.0385248	0.0358439	0.0839405	0.0363068	0.154661	0.0429395	0.0614472	0.11235	0.0854719	0.0951244	0.0860362	0.00517315	0.0168792	0.22476	0.0011448	0.216558	0.236953	0.414853	0.0866922	0.160047	0.130316	0.0427896	0.209123	0.0361037	0.0323282	0.0791672	0.374312	0.933201	2.61332	5	2.934787
43000	-341.807	-414.4401	72.63308	10	1.822336	0.00217048	0.00165067	0.250762	0.189581	0.0532364	0.0557272	0.254449	0.00571836	0.0648988	0.219468	0.156796	0.0480792	0.0992536	0.168218	0.0666093	0.00233803	0.666259	0.257343	0.442337	0.0455567	0.0120261	0.123573	0.452463	0.0265976	0.0546532	0.00316095	0.353475	0.021946	0.223833	0.271103	0.634686	1.06483	2.02938	5	4.32218
44000	-327.4662	-410.2317	82.76551	10	1.323916	0.00959455	0.0032413	0.220461	0.178411	0.115205	0.0111735	0.113278	0.00415897	0.080732	0.0101611	0.244237	0.0253462	0.127081	0.0812997	0.101679	0.0959069	0.141788	0.259479	0.549373	0.034199	0.132475	0.0745892	0.0872723	0.0156484	0.370311	0.0553197	0.0815474	0.0366349	0.384097	0.196796	0.556358	1.03816	2.20869	5	3.644701
45000	-348.5316	-410.479	61.94739	10	2.050913	0.0141285	0.0114416	0.100077	0.0748427	0.29456	0.0749392	0.143271	0.0427959	0.202547	0.168343	0.0394382	0.0404432	0.0718049	0.313618	0.351071	0.00562625	0.0898716	0.0173722	0.43315	0.153339	0.271898	0.242683	0.00292619	0.107135	0.172926	0.115074	0.142558	0.0776842	0.134581	0.299277	0.660321	1.07121	1.96919	5	3.910144
46000	-337.9439	-417.4158	79.47182	10	0.5682049	0.00958744	0.00570368	0.50182	0.445281	0.201342	0.0938676	0.0765855	0.021587	0.0620029	0.0950921	0.0095407	0.0206929	0.113901	0.28184	0.0833304	0.00547968	0.19869	0.0126038	0.00610646	0.198627	0.0470167	0.0664368	0.0292029	0.00472739	0.0953142	0.276597	0.0100156	0.427321	0.270763	0.0466238	0.29413	0.864189	2.79506	5	3.671075
47000	-337.0402	-413.3492	76.30902	10	2.115575	0.00763825	0.00116972	0.167845	0.287824	0.157626	0.0356251	0.185976	0.0529563	0.125135	0.0655409	0.0491382	0.0919142	0.115515	0.247709	0.0711814	0.0472426	0.355244	0.291289	0.0240735	0.942534	0.0518771	0.334044	0.0228435	0.0407532	0.0353108	0.114352	0.0670462	0.0223824	0.188872	0.306691	0.666767	1.07263	1.95391	5	4.200659
48000	-329.8817	-417.7238	87.84205	10	0.8399559	0.0461326	0.00604396	0.112116	0.105737	0.22292	0.0320915	0.0451319	0.0278494	0.0447138	0.0421438	0.0459345	0.0326709	0.00905732	0.132535	0.0612102	0.0709168	0.033521	0.115697	0.162014	0.300525	0.0207472	0.307457	0.0658346	0.283934	0.214707	0.00439338	0.00918198	0.0500404	0.131348	0.104028	0.422737	0.96744	2.5058	5	2.736606
49000	-338.2855	-418.1295	79.84401	10	3.637693	0.00674613	0.0364766	0.148737	0.218716	0.0763852	0.0220641	0.300583	0.0159148	0.0399004	0.0994554	0.0627039	0.0481124	0.148198	0.0122323	0.0878797	0.0606032	0.177457	0.0563874	0.402824	0.0189603	0.0514842	0.192058	0.0903695	0.0336524	0.0116416	0.0213828	0.216711	0.155688	0.0506192	0.433279	0.761668	1.08426	1.72079	5	2.863944
50000	-333.9028	-414.8586	80.95578	10	0.6660105	0.00635416	0.0097863	0.27979	0.0882362	0.116091	0.0265053	0.0254678	0.0283623	0.149134	0.0142655	0.226751	0.0603784	0.0493233	0.478613	0.164707	0.00739197	0.0949568	0.0526259	0.190567	0.0256746	0.192723	0.00261293	0.228518	0.0933372	0.114126	0.0154677	0.396139	0.158947	0.507776	0.0669482	0.347042	0.911591	2.67442	5	3.804629
51000	-335.0112	-411.0084	75.99726	10	2.157939	0.0199617	0.0117219	0.231317	0.184192	0.188569	0.0259287	0.324468	0.00475139	0.0716731	0.207154	0.0747447	0.0393686	0.0970085	0.127219	0.147983	0.0357346	0.418041	0.00809573	0.0812938	0.0432096	0.110406	0.0398448	0.0650369	0.195733	0.154907	0.3212	0.0575127	0.0779669	0.1696	0.311426	0.670822	1.07348	1.94427	5	3.534642
52000	-337.0085	-415.3707	78.36216	10	1.515596	0.0345726	0.000951797	0.0622428	0.14442	0.0125265	0.0280956	0.0725183	0.105286	0.110312	0.111527	0.0150011	0.0870844	0.1613	0.112297	0.0754344	0.0499568	0.484006	0.139774	0.20834	0.336989	0.0106445	0.306621	0.313041	0.224823	0.160351	0.139439	0.016608	0.13358	0.144651	0.227722	0.591132	1.05132	2.12982	5	3.802392
53000	-324.4313	-409.6589	85.22766	10	0.3830282	0.00835507	0.00737873	0.130607	0.0682132	0.053343	0.0133585	0.0847444	0.0016489	0.078097	0.0599534	0.0122181	0.0437381	0.0920252	0.0739101	0.19532	0.00302793	0.0382826	0.275202	0.0348845	0.0666464	0.370483	0.0338752	0.0574488	0.0238565	0.232119	0.57256	0.091925	0.0849885	0.0633594	0.014344	0.168968	0.712242	3.10445	5	2.87157
54000	-330.5036	-407.7774	77.27382	10	1.679211	0.00894881	0.00412485	0.283022	0.486171	0.130851	0.00430423	0.158322	0.0240068	0.085528	0.103288	0.121391	0.12901	0.0850532	0.0876609	0.133597	0.0622499	0.0915549	0.0755545	0.0071729	0.0207015	0.166544	0.252958	0.00854895	0.02482	0.628767	0.0877355	0.0297005	0.253471	0.132977	0.251727	0.615901	1.05942	2.07296	5	3.688034
55000	-329.6541	-409.4732	79.81902	10	0.7966014	0.0278266	0.0162612	0.140896	0.152363	0.0550885	0.0851551	0.162357	0.0805572	0.0623904	0.075848	0.185009	0.054859	0.00383736	0.333663	0.10047	0.00452812	0.0879519	0.0445399	0.359872	0.0716799	0.0319153	0.107468	0.0385469	0.353986	0.0362128	0.124427	0.456752	0.196247	0.014419	0.0948354	0.405762	0.956009	2.54339	5	3.465127
56000	-333.346	-410.5643	77.21832	10	6.270442	0.0499493	0.00947019	0.206893	0.19427	0.244588	0.0153071	0.211269	0.0709822	0.0903606	0.0873211	0.0676041	0.0302334	0.307093	0.0436616	0.0993968	0.0347225	0.129463	0.0460183	0.0219082	0.232347	0.18687	0.43997	0.442938	0.0402462	0.0806909	0.0631932	0.0398973	0.0565845	0.168262	0.547585	0.82919	1.08065	1.54258	5	3.71151
57000	-351.0313	-416.3397	65.30841	10	2.771633	0.00992727	0.0367923	0.244138	0.358375	0.128442	0.0297203	0.300482	0.051915	0.154038	0.0576213	0.0709708	0.0840872	0.0798835	0.708909	0.18258	0.0014314	0.00994406	0.124836	0.0895445	0.0586582	0.152105	0.0845055	0.540933	0.190282	0.101638	0.127526	0.226784	0.219331	5.78003e-05	0.370785	0.718045	1.08113	1.83004	5	4.425458
58000	-335.4918	-416.7198	81.22798	10	0.3969383	0.0133939	0.00485825	0.0556664	0.0871713	0.10962	0.0705725	0.149246	0.0105343	0.120961	0.0303807	0.0678435	0.0428625	0.052545	0.15024	0.0837633	0.00079614	0.140095	0.0430037	0.119081	0.204369	0.0199489	0.116197	0.26641	0.0771089	0.00877628	0.218234	0.0485189	0.022614	0.169936	0.0162752	0.179465	0.727946	3.07631	5	2.504746
59000	-337.7157	-410.5091	72.79343	10	2.968285	0.00464134	0.00693984	0.164226	0.368018	0.104175	0.104203	0.073892	0.0525175	0.116605	0.0327932	0.21997	0.0740301	0.0459689	0.130275	0.180969	0.00672035	0.206067	0.0954264	0.115033	0.0540917	0.235732	0.184146	0.363917	0.194791	0.0196107	0.433718	0.000669834	0.0503095	0.0212374	0.386793	0.729757	1.08235	1.80109	5	3.660691
