Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
30000	-478.1264	-529.6815	51.55515	10	1.029528	0.256436	0.00988303	0.241901	0.00447149	0.274552	0.0744386	0.0168307	0.0366264	0.0698767	0.0242097	0.335279	0.14683	0.00189022	0.0206592	0.126696	0.0407114	0.0118274	0.0414883	0.0669557	0.0907116	0.052066	0.0186646	0.00702979	0.00337114	0.0269469	0.090626	0.143745	0.107275	0.00527093	0.0192952	0.0675495	0.00433191	0.1839	0.517094	0.100398	0.000898717	0.380159	0.0375636	0.000479303	0.0188604	0.113377	0.127978	0.199052	0.142808	0.485451	1.00473	2.36702	5	4.118208
31000	-471.9536	-528.33	56.37645	10	0.8565138	0.281398	0.0913233	0.0588648	0.0779075	0.00498505	0.0750583	0.0552592	0.0112975	0.0415913	0.0518832	0.069424	0.0802896	0.00412474	0.0579094	0.0126181	0.0694324	0.0394981	0.034613	0.236593	0.028075	0.0352318	0.216736	0.0235009	0.0382493	0.0467033	0.0619821	0.00581443	0.216434	0.0155123	0.149202	0.439169	0.0874282	0.0652689	0.0465374	0.0340936	0.00308415	0.102779	0.0119761	9.93915e-05	0.018396	0.0780438	0.143548	0.0217204	0.107515	0.428929	0.971463	2.49209	5	3.243655
32000	-467.6803	-517.6309	49.95059	10	1.779557	0.223163	0.000535758	0.155975	0.0153324	0.11452	0.125102	0.0214411	0.0667589	0.0553905	0.0163024	0.0885687	0.0557215	0.00642316	0.025614	0.0752015	0.0340834	0.1067	0.0470953	0.0642656	0.0687763	0.059052	0.0773891	0.0321764	0.141332	0.269889	0.0464911	0.0610665	0.0817609	0.0942262	0.0367282	0.0497744	0.0696799	0.0483811	0.0237468	0.133102	0.0971459	0.182164	0.369329	0.0345322	0.0580284	0.553594	0.0033312	0.387682	0.265461	0.629319	1.06335	2.04187	5	4.277574
33000	-463.6124	-521.6184	58.00597	10	1.251627	0.124799	0.0298744	0.0549929	0.075266	0.0298035	0.073385	0.000235724	0.0251316	0.106634	0.076202	0.292289	0.0283888	0.0156158	0.0377855	0.0108056	0.0483919	0.00340172	0.0609498	0.168031	0.0719261	0.0185218	0.119078	0.012752	0.154645	0.0629764	0.114358	0.0106987	0.173613	0.190433	0.0566468	0.0703447	0.0498275	0.119661	0.099044	0.035025	0.0974998	0.0391315	0.0194582	0.0587318	0.0279465	0.131412	0.0688319	0.0190546	0.184284	0.541217	1.03177	2.24273	5	3.083601
34000	-472.5492	-522.1406	49.59141	10	2.039686	0.0765324	0.0110976	0.126977	0.0602846	0.0552559	0.20807	0.0197446	0.0117558	0.0152854	0.052342	0.00976692	0.0518706	0.040949	0.0181002	0.0516072	0.0290072	0.0363258	0.16452	0.176594	0.0102605	0.00393587	0.0423381	0.0266184	0.108288	0.195084	0.0580082	0.0645597	0.0969462	0.0667098	0.0244914	0.0695415	0.203863	0.0948219	0.124009	0.046934	0.200639	0.0226978	0.077302	0.073229	0.293328	0.0980421	0.0407704	0.0493667	0.297966	0.659168	1.07095	1.97191	5	3.307872
35000	-467.6745	-516.843	49.16847	10	0.7749619	0.161441	0.0851583	0.151273	0.263226	0.0708871	0.0713872	0.0631513	0.0307725	0.0716988	0.0178373	0.0447397	0.111578	0.0116459	0.0147488	0.0102951	0.0545305	0.0207205	0.0561583	0.235107	0.0438536	0.0261354	0.0875069	0.018919	0.173061	0.0511218	0.0837873	0.0169862	0.663057	0.108153	0.0928037	0.0405831	0.233098	0.037983	0.0872627	0.0274493	0.102248	0.245209	0.0129169	0.095604	0.101256	0.052446	0.0443192	0.0101105	0.0902208	0.396855	0.949768	2.56316	5	4.002227
36000	-477.5749	-526.0005	48.42554	10	0.7478336	0.402695	0.0177958	0.0580687	0.157247	0.0258061	0.355271	0.0420687	0.00327806	0.0169046	0.0222062	0.0304263	0.110168	0.00493037	0.0237926	0.14287	0.0674956	0.129978	0.0235949	0.0239318	0.042446	0.0139941	0.0476133	0.0368271	0.00157781	0.206519	0.00644658	0.18785	0.387489	0.0923127	0.0352662	0.105737	0.042019	0.395306	0.00769587	0.0776391	0.213327	0.0396515	0.0906845	0.16598	0.0148062	0.138001	0.1131	0.0722432	0.084421	0.385252	0.941382	2.58895	5	4.193061
37000	-501.5641	-527.9002	26.33619	2	1.447304	0.36222	0.0215822	0.149396	0.0480748	0.0551346	0.322435	0.00123614	0.0508421	0.155962	0.0324147	0.0539767	0.054865	0.035867	0.0282884	0.0191412	0.106007	0.0715807	0.185919	0.0663854	0.120173	0.0184142	0.0992703	0.0188553	0.0325049	0.0135618	0.034087	0.0878173	0.289223	0.0791136	0.0145819	0.576364	0.239669	0.195682	0.0224332	0.0613748	0.371107	0.0417909	0.0508257	0.0119987	0.0703551	0.057308	0.0512926	0.0509286	0.217066	0.579544	1.04717	2.15622	4	4.43006
38000	-474.0098	-517.7647	43.7549	10	0.7484206	0.200693	0.00579578	0.077231	0.181484	0.0846631	0.13838	0.0290487	0.0301778	0.0451888	0.0108544	0.125744	0.0519455	0.0409383	0.00264656	0.0379825	0.0676958	0.176022	0.014182	0.233385	0.114666	0.0103645	0.0523404	0.0141634	0.0687452	0.0308191	0.0738937	0.109607	0.0747989	0.0630113	0.137192	0.029612	0.169364	0.609648	0.302291	0.0997139	0.118398	0.067927	0.0715933	0.276424	0.0301589	0.350964	0.0107037	0.00190473	0.0845466	0.385508	0.94157	2.58838	5	4.442362
39000	-459.1006	-514.5653	55.4647	10	0.6086022	0.250025	0.00633558	0.0115495	0.0183824	0.086761	0.0556393	0.0063275	0.0482823	0.0195024	0.0269859	0.0242117	0.0591137	0.0230495	0.0600359	0.000860723	0.0474866	0.0166	0.0863735	0.107595	0.0403439	0.0381455	0.057714	0.0137876	0.0362961	0.041686	0.0281173	0.00767345	0.000207602	0.060359	0.132821	0.0664036	0.0734239	0.323293	0.0382541	0.169764	0.0604781	0.108918	0.0148939	0.0328062	0.0866936	0.014389	0.0144708	0.116835	0.054887	0.31702	0.885645	2.74245	5	2.532892
40000	-469.381	-529.7992	60.41825	10	1.144561	0.198434	0.0422869	0.0640367	0.0511504	0.0309429	0.21915	0.121363	0.00446525	0.0178579	0.0515675	0.0264787	0.0736511	0.054242	0.0175883	0.00872673	0.0466953	0.048963	0.109815	0.120951	0.0608787	0.00190224	0.0412537	0.0311826	0.112201	0.0232778	0.164452	0.143532	0.172388	0.155236	0.10031	0.134184	0.105439	0.0499393	0.0381546	0.212512	0.0403939	0.0658797	0.0268198	0.0420585	0.00650344	0.144212	0.0368639	0.0527869	0.164863	0.516273	1.02036	2.29851	5	3.270728
