Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
61000	-20.58178	-46.75954	26.17776	10	1.716669	0.161227	0.109323	0.203486	0.0263059	1.43961e-05	0.0421095	0.17326	0.299112	0.0909515	0.113707	0.0846196	0.109698	0.276041	0.256938	0.621053	1.06096	2.06105	5	1.689854
62000	-16.5597	-46.40565	29.84595	10	0.2205946	0.127546	0.220052	0.0856793	0.0613098	0.0800667	0.020739	0.0659264	0.125701	0.0310699	0.0706959	0.0860252	0.564112	0.0845035	0.0010119	0.0464369	0.435248	3.5173	5	1.623427
63000	-28.57635	-48.49905	19.92271	1	0.168397	0.0535476	0.0378108	0.0626425	0.0990312	0.0526518	0.0748575	0.016078	0.0483226	0.110668	0.0420215	0.0295721	0.411046	0.0638905	0.000145289	0.0177585	0.296371	3.68573	3	1.10214
64000	-18.34014	-50.84717	32.50703	10	0.5673899	0.0653163	0.10996	0.0253419	0.175416	0.0189393	0.032069	0.0187769	0.356788	0.0403327	0.0597088	0.0787157	0.131612	0.266968	0.0464597	0.293652	0.863724	2.79616	5	1.379945
65000	-22.8425	-46.16937	23.32687	10	0.9438247	0.0508123	0.381588	0.260951	0.21627	0.152646	0.0308956	0.0942786	0.13979	0.361988	0.0871349	0.185513	0.0653204	0.0735474	0.125614	0.45919	0.99003	2.42517	5	2.100735
66000	-33.54457	-50.67995	17.13538	2	0.2911334	0.157767	0.386678	0.106141	0.113661	0.0412806	0.100551	0.0516069	0.0751611	0.152015	0.111671	0.180161	0.0599732	0.0662435	0.00460368	0.0976176	0.580607	3.31717	4	1.602909
67000	-35.08914	-52.42084	17.3317	2	0.1928613	0.0486447	0.0910482	0.0903518	0.230633	0.156487	0.114907	0.0102028	0.214319	0.293671	0.10312	0.0992589	0.0742474	0.110679	0.000411389	0.0297613	0.364771	3.60506	4	1.63757
68000	-23.66816	-48.07926	24.4111	10	0.7491263	0.0324142	0.0620153	0.156575	0.126873	0.064007	0.085127	0.0288263	0.0263589	0.529019	0.0118613	0.0197909	0.00447154	0.0830791	0.0846976	0.385816	0.941796	2.58769	5	1.230419
69000	-18.6147	-45.62175	27.00705	10	0.5530991	0.00869666	0.170283	0.14078	0.0484982	0.00152746	0.0108285	0.0585152	0.190805	0.0422388	0.0601459	0.528529	0.0869537	0.00953036	0.0436028	0.285174	0.855366	2.81586	5	1.357332
70000	-19.13967	-48.63344	29.49377	10	0.1596331	0.0215764	0.255627	0.049318	0.0193055	0.050679	0.0512549	0.0181569	0.0587924	0.296145	0.130368	0.212432	0.0525833	0.212534	9.25778e-05	0.0141945	0.270652	3.71506	5	1.428772
71000	-16.24612	-48.88013	32.63401	10	0.2764731	0.212432	0.16306	0.0256202	0.0722273	0.0283411	0.00878725	0.0246666	0.145833	0.139037	0.153889	0.131666	0.0687742	0.0067668	0.0035813	0.086368	0.554093	3.35596	5	1.1811
72000	-32.71883	-48.8369	16.11807	2	0.701024	0.33058	0.144252	0.0705939	0.149771	0.0289147	0.00833801	0.0245808	0.273023	0.109073	0.0226347	0.0293744	0.232708	0.250537	0.074407	0.364013	0.925247	2.63633	4	1.674381
73000	-33.6014	-52.48437	18.88296	2	1.12802	0.0393351	0.130735	0.290962	0.0294589	0.0707532	0.0469709	0.0292499	0.1403	0.171077	0.0216213	0.0258325	0.109091	0.194653	0.161766	0.512117	1.01835	2.30777	4	1.30004
74000	-30.48472	-48.94084	18.45613	2	0.5156009	0.0197255	0.186831	0.0249871	0.218131	0.0550161	0.0505664	0.176273	0.0902394	0.00376664	0.282912	0.0313124	0.213008	0.205003	0.0363145	0.261979	0.831296	2.87041	4	1.557772
75000	-12.17282	-47.87374	35.70092	10	0.04980217	0.0766759	0.109351	0.0276638	0.0533293	0.0779455	0.107076	0.00578384	0.0683919	0.0232133	0.0292656	0.346454	0.0184978	0.106459	4.53473e-13	1.00484e-06	0.00517968	3.99482	5	1.050108
76000	-14.24755	-48.62524	34.37768	10	0.02280324	0.00238709	0.129389	0.209171	0.00905204	0.048683	0.00861562	0.0354152	0.0845081	0.00158131	0.201842	0.141445	0.0573548	0.115869	2.21409e-27	7.03751e-14	5.56819e-06	3.99999	5	1.045314
77000	-19.44755	-44.68565	25.23809	10	2.213196	0.130466	0.3941	0.0626495	0.0843942	0.0762982	0.0137634	0.0208475	0.12114	0.067193	0.00191236	0.0771111	0.273096	0.0460706	0.317462	0.675925	1.07451	1.9321	5	1.369042
78000	-20.50812	-49.84087	29.33275	10	0.6420735	0.140156	0.479093	0.0909056	0.117961	0.0346916	0.0555377	0.010154	0.134867	0.00786735	0.0735487	0.221895	0.0744033	0.185922	0.0618856	0.334867	0.901354	2.70189	5	1.627003
79000	-30.16135	-47.82107	17.65972	10	3.181356	0.106502	0.339118	0.0567498	0.0210317	0.202837	0.0902458	0.164471	0.244038	0.0339524	0.484527	0.0640629	0.099536	0.0633424	0.402823	0.741099	1.08328	1.7728	5	1.970414
80000	-42.25189	-56.80324	14.55135	2	0.555223	0.113078	0.123742	0.0142325	0.0999704	0.0845308	0.0416637	0.0996373	0.0943643	0.489443	0.173386	0.107933	0.0841604	0.0173199	0.0440249	0.286447	0.856635	2.81289	4	1.54346
81000	-15.77979	-49.6782	33.89841	10	0.9673859	0.0212763	0.153236	0.0780869	0.0606959	0.0466828	0.0336758	0.0522725	0.0543929	0.112734	0.0129926	0.00285425	0.00456218	0.11207	0.130401	0.466724	0.994379	2.4085	5	0.745532
82000	-23.88972	-49.46365	25.57393	10	0.2147365	0.0499385	0.068199	0.0753352	0.0179738	0.145639	0.10765	0.118307	0.0243824	0.349965	0.0619142	0.427618	0.017795	0.00913941	0.000853105	0.0426859	0.421014	3.53545	5	1.473856
83000	-21.11079	-45.52139	24.4106	2	0.4824603	0.0275747	0.0760162	0.0278357	0.0517042	0.0169643	0.00777961	0.0105955	0.215116	0.222097	0.0951667	0.0306569	0.0704891	0.00702927	0.0301847	0.240311	0.807074	2.92243	4	0.8590243
