Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
51000	177.1508	-492.3005	669.4513	0.05	1.021018	0.204653	0.0270863	0.0611723	0.0463162	0.144831	0.0483866	0.0689366	0.0599243	0.00633464	0.183103	0.00850763	0.346962	0.601614	0.215934	0.0370273	0.102762	0.123394	0.380958	0.188538	0.141128	0.48298	1.0034	2.37249	1	2.856441
52000	197.9813	-484.6566	682.638	0.05	0.1134082	0.202061	0.000136017	0.00205528	0.0240826	0.056721	0.0306802	0.0824488	0.0138356	0.0170594	0.0572427	0.0125239	0.0609685	0.146736	0.0550647	0.0621487	0.170085	0.0828174	0.242551	0.812019	2.70587e-06	0.00244077	0.131458	3.8661	1	2.131238
53000	188.7709	-492.0602	680.8311	0.05	0.3066728	0.208885	0.105256	0.032639	0.0182475	0.046809	0.108268	0.169885	0.116963	0.0812954	0.141961	0.0572134	0.140799	0.0517254	0.391174	0.22598	0.0192451	0.375296	0.093325	0.739727	0.00585219	0.109695	0.606841	3.27761	1	3.124695
54000	196.9224	-492.6708	689.5932	0.05	0.08452623	0.0526367	0.0487226	0.0121057	0.0624333	0.054196	0.0587424	0.0525422	0.0771234	0.0465829	0.00726876	0.00956478	0.0436938	0.202036	0.0103267	0.493708	0.00655595	0.0471644	0.0276713	0.230031	4.17191e-08	0.000303892	0.055455	3.94424	1	1.543107
55000	183.5198	-486.7655	670.2853	0.05	1.835538	0.54709	0.0631406	0.0392655	0.116251	0.017783	0.114177	0.0474476	0.064255	0.0476623	0.136274	0.0163377	0.0815865	0.262969	0.158297	0.431467	0.0594392	0.100096	0.344359	0.0258607	0.27282	0.636302	1.06527	2.02561	1	2.673758
56000	167.7149	-496.7418	664.4567	0.05	0.3082739	0.112737	0.0123076	0.00287465	0.0765654	0.114116	0.0542391	0.161816	0.103187	0.00555494	0.0184586	0.0517492	0.135056	0.0467056	0.117212	0.446634	0.146586	0.00962472	0.101622	0.218513	0.00599045	0.110945	0.60944	3.27362	1	1.935557
57000	167.0426	-490.4003	657.4429	0.05	0.126364	0.0569651	0.0541257	0.0272625	0.00169139	0.0468743	0.0228995	0.0354724	0.0246582	0.040282	0.0230777	0.0172169	0.491038	0.0959098	0.453834	0.0409884	0.10945	0.0289825	0.0286441	0.13113	9.45641e-06	0.00455642	0.170039	3.8254	1	1.730503
58000	194.1196	-485.9589	680.0785	0.05	0.1253301	0.0857973	0.0043927	0.0262232	0.0437529	0.00732734	0.0839613	0.0263914	0.0253409	0.0954818	0.0242116	0.0301287	0.139449	0.0088283	0.182469	0.196978	0.175737	0.0193994	0.226509	0.514665	8.63952e-06	0.00435569	0.166915	3.82872	1	1.917044
59000	189.0846	-486.1315	675.216	0.05	0.2696793	0.191936	0.122577	0.031488	0.0571586	0.0479392	0.0853897	0.0462662	0.0109347	0.000477931	0.04138	0.0251217	0.293172	0.15593	0.260858	0.138553	0.182895	0.187562	0.206406	0.410996	0.00315845	0.0812257	0.541191	3.37442	1	2.49704
60000	174.5202	-490.641	665.1611	0.05	0.2623555	0.250594	0.0534811	0.00355514	0.0401761	0.0134479	0.0857515	0.00964042	0.207985	0.0367541	0.0685187	0.0376561	0.0150604	0.044418	0.0432013	0.0669541	0.178457	0.205196	0.65586	0.524657	0.00273829	0.0757468	0.526827	3.39469	1	2.541366
61000	177.8999	-487.7959	665.6958	0.05	0.1189561	0.241369	0.0232547	0.0195968	0.0568115	0.0158048	0.0821269	0.00908191	0.0438347	0.0500742	0.0265218	0.00239098	0.198294	0.058996	0.0639262	0.751485	0.143496	0.0487033	0.137086	0.00243256	4.78102e-06	0.0032425	0.147806	3.84895	1	1.975286
62000	182.9008	-485.2742	668.1751	0.05	0.07156141	0.102132	0.0115639	0.0147638	0.00074578	0.0136917	0.0105032	5.17046e-05	0.00973152	0.0392527	0.0243163	0.00571035	0.093614	0.0794771	0.00931825	0.0866543	0.0317011	0.122327	0.226176	0.0134538	2.14199e-09	6.8935e-05	0.0299564	3.96997	1	0.895185
63000	172.3975	-490.9985	663.396	0.05	0.1282671	0.216959	0.178234	0.011915	0.0110159	0.02493	0.0151481	0.0275022	0.0251601	0.0247313	0.0157477	0.0301768	0.106378	0.10941	0.476368	0.0133647	0.0480002	0.371437	0.0483976	0.0694968	1.11247e-05	0.00494094	0.1758	3.81925	1	1.824371
64000	171.5132	-489.9331	661.4462	0.05	0.009570202	0.29243	0.266257	0.0107135	0.0303882	0.00281286	0.0623398	0.0446379	0.00835217	0.036922	0.045749	0.00693414	0.00971799	0.047523	0.33701	0.0650608	0.00442654	0.121787	0.0928871	0.117319	6.89817e-64	3.93269e-32	1.4816e-13	4	1	1.603268
65000	173.0301	-486.8197	659.8498	0.05	0.0901177	0.0982748	0.0283725	0.0222023	0.0137149	0.00259719	0.0242735	0.00656665	0.0827007	0.0809212	0.039962	0.00477028	0.149987	0.119646	0.166987	0.0761565	0.0307692	0.428825	0.0384998	0.0445279	1.15314e-07	0.000504987	0.0684623	3.93103	1	1.459755
