Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
48000	-28.0204	-45.20404	17.18364	2	2.252772	0.150726	0.0916615	0.0411818	0.0434195	0.0100207	0.137047	0.0720362	0.024678	0.0634645	0.116624	0.271993	0.224905	0.177374	0.0638961	0.234428	0.154466	0.0256909	0.0380519	0.140637	0.32169	0.679456	1.0752	1.92366	4	2.082302
49000	-23.4621	-50.58922	27.12711	10	0.6568471	0.0381437	0.0726471	0.0900658	0.0243827	0.088516	0.0514852	0.123105	0.190924	0.0431135	0.604963	0.097855	0.16515	0.146257	0.00974424	0.0404351	0.0141056	0.0540879	0.0657353	0.0913324	0.0650057	0.342437	0.907764	2.68479	5	2.01205
50000	-14.54578	-43.03725	28.49148	10	0.2711779	0.0776644	0.0389306	0.0171911	0.408599	0.0688544	0.00465137	0.0789431	0.0384984	0.0520694	0.0557136	0.26971	0.139386	0.196887	0.0608411	0.0681405	0.0905116	0.0885612	0.0801526	0.242487	0.00324897	0.0823553	0.544072	3.37032	5	2.077793
51000	-15.30597	-43.6779	28.37193	10	1.006886	0.0459248	0.00589337	0.0551592	0.10456	0.125532	0.182257	0.0831411	0.0945875	0.0422166	0.00943771	0.00290092	0.013292	0.0406012	0.158295	0.0840162	0.104175	0.250257	0.00692713	0.3547	0.138326	0.478812	1.00113	2.38173	5	1.763875
52000	-19.99275	-41.60049	21.60774	10	1.758268	0.106797	0.0045731	0.00655441	0.147195	0.104284	0.0511179	0.159145	0.0237427	0.15636	0.0623429	0.0296141	0.650322	0.0407719	0.00318306	0.0809783	0.115732	0.0841233	0.0258616	0.115163	0.262607	0.626572	1.06257	2.04825	5	1.967861
53000	-12.14108	-40.38218	28.2411	10	2.586172	0.0196536	0.00080521	0.0191744	0.263247	0.0505388	0.105215	0.022165	0.0176475	0.0652116	0.0886444	0.0241059	0.16851	0.0580078	0.044564	0.00568759	0.345695	0.0802964	0.118202	0.233813	0.354477	0.705694	1.07954	1.86029	5	1.731184
54000	-21.40862	-45.33275	23.92413	10	1.185704	0.0928472	0.0529463	0.0161241	0.0497283	0.178049	0.156885	0.0202869	0.0380391	0.00813739	0.0165907	0.124586	0.0380023	0.108112	0.0044209	0.025468	0.544057	0.011892	0.0184463	0.0122074	0.172453	0.526244	1.02505	2.27625	5	1.516826
55000	-30.22146	-48.40008	18.17862	10	0.1526386	0.033522	0.20336	0.353977	0.00429718	0.0502639	0.152982	0.0764171	0.0131661	0.0375517	0.258067	0.109382	0.117011	0.0451782	0.386854	0.186673	0.0134641	0.0623919	0.0736985	0.0969135	6.22491e-05	0.0116512	0.24977	3.73852	5	2.275169
56000	-16.7705	-41.99061	25.22011	2	0.9589923	0.112425	0.00163063	0.0558769	0.182134	0.044358	0.175591	0.0237837	0.00432751	0.0366088	0.110194	0.109885	0.0106159	0.096142	0.124015	0.0536932	0.0311737	0.00433595	0.0687294	0.0979535	0.128701	0.464069	0.992858	2.41437	4	1.343473
57000	-24.45545	-43.40638	18.95094	10	0.9130734	0.12265	0.00162494	0.013695	0.396842	0.13849	0.0620229	0.0378139	0.0243342	0.0425569	0.0217401	0.36338	0.362439	0.0802397	0.0622591	0.327065	0.00915394	0.110717	0.226144	0.0238318	0.1193	0.448969	0.983958	2.44777	5	2.427
58000	-14.40692	-43.86371	29.4568	10	0.323527	0.0964438	0.00242657	0.0132708	3.5027e-05	0.117186	0.215959	0.0855912	0.00483294	0.0252571	0.0639003	0.208754	0.0830909	0.0202073	0.0288114	0.182909	0.0063954	0.00912115	0.0500213	0.181626	0.00739664	0.122878	0.633278	3.23645	5	1.395839
59000	-23.02206	-45.36762	22.34556	1	1.139699	0.0609637	0.0187939	0.00829587	0.011038	0.0386401	0.138984	0.0743172	0.00747875	0.10666	0.0448445	0.0514459	0.152357	0.218004	0.0796489	0.0389999	0.130932	0.0400025	0.124251	0.0315297	0.163955	0.51506	1.01978	2.30121	3	1.377186
60000	-9.993973	-41.18493	31.19096	10	0.2117781	0.00954981	0.0535002	0.0157617	0.00892735	0.0202943	0.271097	0.0656387	0.0162385	0.0882225	0.0825985	0.0859258	0.0247033	0.198643	0.14373	0.141051	0.222268	0.257156	0.10245	0.0754182	0.000779835	0.0408346	0.413693	3.54469	5	1.883175
61000	-15.36333	-40.47668	25.11335	10	2.310057	0.135609	0.139861	0.193778	0.0878136	0.0576402	0.0380213	0.00511226	0.00408351	0.0613517	0.0770486	0.21818	0.0238309	0.0252181	0.34896	0.198015	0.090069	0.0489792	0.232492	0.262527	0.327675	0.684395	1.07611	1.91182	5	2.24859
62000	-8.889374	-44.52375	35.63437	10	0.08371743	0.0323961	0.0212406	0.0290149	0.326544	0.00754899	0.0135486	0.0487118	0.0167321	0.00176656	0.0450681	0.0902097	0.00576063	0.174772	0.0937795	0.025832	0.040457	0.0271581	0.0307328	0.319725	3.56105e-08	0.000280783	0.0536644	3.94605	5	1.350999
63000	-5.930997	-41.91004	35.97904	10	0.2681566	0.068838	0.024646	0.104371	0.012646	0.0506929	0.00919848	0.0570625	0.0349512	0.075256	0.0175526	0.00665016	0.201058	0.284373	0.0542903	0.0339372	0.0256274	0.26211	0.0433062	0.0251583	0.00306806	0.0800807	0.538244	3.37861	5	1.391726
64000	-15.26555	-40.52872	25.26317	10	0.223112	0.0110895	0.0246015	0.0434837	0.0339299	0.0918578	0.0205404	0.00729834	0.0431267	0.0228638	0.0436234	0.0788811	0.0493482	0.167618	0.203787	0.357243	0.0847059	0.380406	0.038817	0.130758	0.00108591	0.0480817	0.441256	3.50958	5	1.833979
65000	-26.8786	-47.63744	20.75884	2	0.4694503	0.000436521	0.055365	0.0797424	0.0337805	0.0584274	0.168359	0.0538458	0.0407142	0.0554395	0.135109	0.151586	0.0639951	0.122596	0.159566	0.354152	0.0671072	0.174941	0.0437131	0.0286228	0.027875	0.231505	0.7967	2.94392	4	1.847498
66000	-13.82154	-48.08135	34.25981	10	1.023294	0.0909762	0.0144283	0.0273882	0.103271	0.0455039	0.157016	0.0638124	0.0363033	0.0254428	0.0687871	0.105963	0.0909205	0.211181	0.0634242	0.0287825	0.169282	0.0943463	0.00378825	0.0226195	0.141578	0.483643	1.00375	2.37102	5	1.423236
67000	-16.66733	-43.53484	26.86751	10	0.8389654	0.0812015	0.00709121	0.0617882	0.0321019	0.0239807	0.20196	0.00425006	0.10858	0.278233	0.141731	0.0530609	0.328437	0.0792912	0.129093	0.00825916	0.321311	0.139989	0.222594	0.202099	0.103819	0.422361	0.967193	2.50663	5	2.425052
68000	-5.954207	-40.4576	34.50339	10	1.126674	0.0622937	0.0416244	0.00446183	0.261071	0.13109	0.0118443	0.0114202	0.048584	0.0696864	0.0715838	0.0189047	0.279716	0.0170063	0.0527828	0.00203113	0.17702	0.00199583	0.150838	0.104201	0.161513	0.511775	1.01818	2.30853	5	1.518155
69000	-27.24288	-44.13155	16.88866	2	3.192493	0.0996467	0.0633981	0.0565123	0.141634	0.00170716	0.0798369	0.0656387	0.115096	0.376164	0.0651904	0.165387	0.182709	0.102434	0.0169022	0.130755	0.105147	0.159031	0.0377341	0.013168	0.403626	0.741658	1.08331	1.7714	4	1.978092
70000	-18.26797	-39.9027	21.63473	2	0.3684203	0.060254	0.0400367	0.0028604	0.0673603	0.0748864	0.0433777	0.120914	0.0282231	0.0673872	0.0139019	0.0297241	0.0784705	0.137256	0.0558809	0.391428	0.261819	0.194245	0.0164119	0.0947704	0.0124345	0.157803	0.694714	3.13505	4	1.779208
71000	-5.695191	-43.27202	37.57683	10	0.2689144	0.0918977	0.0924577	0.0314682	0.000596036	0.00566772	0.00328741	0.00598713	0.00095264	0.0152282	0.000185788	0.268606	0.0293488	0.0966303	0.0370825	0.00251318	0.108089	0.184739	0.00192303	0.0518906	0.00311285	0.0806501	0.539714	3.37652	5	1.02855
72000	-20.99954	-46.50137	25.50184	2	0.4785694	0.018416	0.0384011	0.0619899	0.144524	0.0319041	0.154346	0.00923473	0.0151302	0.172185	0.0161769	0.0683523	0.102512	0.0183569	0.0832875	0.0893979	0.150385	0.0311641	0.0350244	0.118768	0.0294878	0.237695	0.804026	2.92879	4	1.359558
73000	-33.65988	-46.86709	13.20721	1	3.736423	0.0947078	0.0291001	0.0422871	0.00895048	0.017561	0.0863371	0.0760552	0.0110928	0.099378	0.1736	0.312878	0.192742	0.143915	0.063839	0.0430721	0.0229206	0.333666	0.13578	0.143465	0.439269	0.765571	1.08434	1.71082	3	2.031348
74000	-29.39252	-47.67835	18.28584	1	1.322704	0.122635	0.048815	0.00999966	0.00940231	0.0989244	0.0883636	0.0104535	0.000804426	0.315945	0.0684958	0.142063	0.0155202	0.062732	0.0642029	0.0121741	0.0215428	0.595787	0.0408034	0.0361937	0.19659	0.556114	1.03806	2.20924	3	1.764858
75000	-24.31359	-44.68588	20.37229	2	0.2204987	0.145296	0.00296728	0.00965834	0.316502	0.110542	0.213944	0.00142959	0.0011984	0.0394098	0.147406	0.0869591	0.0551268	0.17446	0.208118	0.188942	0.0362239	0.0550236	0.0843784	0.0215171	0.00100915	0.0463746	0.435017	3.5176	4	1.899102
76000	-26.03837	-48.00466	21.96628	2	0.2404247	0.132726	0.00369421	0.121959	0.0267312	0.0525661	0.118592	0.00101622	0.131889	0.00548303	0.0962155	0.228563	0.141059	0.20294	0.064853	0.160876	0.00466931	0.0676643	0.210074	0.0222305	0.00169513	0.0598673	0.480853	3.45758	4	1.793802
77000	-9.233727	-40.10326	30.86953	2	0.5686896	0.0951254	0.0356608	0.00439266	0.134309	0.0855429	0.0502874	0.0132083	0.000838216	0.00480217	0.0673286	0.0227224	0.0624808	0.111344	0.0148103	0.0570354	0.079489	0.0145015	0.0336881	0.0324148	0.0467214	0.294413	0.864464	2.7944	4	0.9199812
78000	-18.02155	-42.09619	24.07465	2	0.4622864	0.0518785	0.105835	0.0415588	0.00737351	0.0568998	0.183498	0.0117351	0.0293113	0.0423975	0.0424552	0.0902708	0.315052	0.109167	0.136144	0.0993084	0.0242285	0.0921494	0.0667224	0.130154	0.0266292	0.226584	0.790761	2.95603	4	1.63614
79000	-19.10317	-45.62454	26.52137	10	0.7169753	0.11127	0.00550107	0.0159743	0.101208	0.231765	0.0807757	0.0566956	0.0153466	0.110982	0.165415	0.251626	0.107649	0.172584	0.265	0.134675	0.089446	0.167679	0.235925	0.0428347	0.0778173	0.371431	0.931	2.61975	5	2.362352
80000	-19.78163	-42.86599	23.08437	10	3.067879	0.183917	0.321328	0.0823383	0.127849	0.221032	0.00071824	0.00614186	0.0246848	0.0354746	0.00367827	0.0874613	0.0226846	0.204582	0.133425	0.168881	0.132338	0.0486149	0.235883	0.0446924	0.394446	0.735218	1.08283	1.7875	5	2.085726
