Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
34000	-133.1827	-178.6788	45.4961	2	0.4595129	0.0647969	0.0164658	0.00268802	0.0775876	0.0386321	0.127945	0.0316886	0.0391	0.270967	0.0364893	0.102452	0.00335264	0.0740024	0.138362	0.0504647	0.176507	0.077444	0.0516555	0.122977	0.0637214	0.0384148	0.125975	0.0417299	0.0564873	0.00769643	0.278987	0.230806	0.18004	0.0984851	0.00837703	0.0466081	0.182373	0.131631	0.0261521	0.224665	0.788417	2.96077	4	2.994909
35000	-148.4571	-182.4579	34.00083	2	1.012819	0.00761308	0.0562279	0.169083	0.0917699	0.100088	0.0920042	0.216179	0.0542352	0.187328	0.260807	0.132813	0.0811312	0.031523	0.0685318	0.0778766	0.174983	0.0587691	0.111515	0.369017	0.0795528	0.00541341	0.0423031	0.149189	0.253354	0.0610976	0.102282	0.0846453	0.323054	0.0131131	0.131587	0.0282787	0.00600465	0.165082	0.139504	0.480571	1.00209	2.37783	4	3.786452
36000	-146.7613	-181.2075	34.44618	2	0.3787981	0.0968836	0.104104	0.156754	0.101193	0.280409	0.111003	0.0692822	0.0572146	0.0206602	0.00757383	0.170871	0.100127	0.0668701	0.0602468	0.108578	0.05987	0.0626204	0.164545	0.120549	0.118579	0.181077	0.437597	0.069316	0.348147	0.253622	0.0719523	0.170988	0.0608411	0.164884	0.0298589	0.131414	0.00977797	0.152255	0.0137783	0.165749	0.707279	3.11319	4	4.119668
37000	-113.0305	-183.9091	70.87862	10	0.9936877	0.00440425	0.070579	0.293696	0.152651	0.138143	0.047612	0.0426249	0.0553733	0.11149	0.028781	0.0790681	0.0254837	0.154874	0.225426	0.0153884	0.0416268	0.149763	0.137154	0.25769	0.0324646	0.118124	0.135612	0.365013	0.066175	0.158725	0.0956137	0.0725421	0.0652787	0.0295245	0.0139461	0.239179	0.00205293	0.00158505	0.135693	0.474846	0.998946	2.39051	5	3.427664
38000	-116.5535	-181.7312	65.17767	10	0.6315097	0.0394437	0.00560327	0.0976048	0.163686	0.147816	0.10947	0.0673843	0.0455327	0.146748	0.0340549	0.0937373	0.0232792	0.180544	0.0293668	0.0266105	0.0476588	0.246292	0.055138	0.01184	0.13454	0.121718	0.0391633	0.0976592	0.0116426	0.365341	0.223317	0.236614	0.137807	0.156694	0.0956241	0.0696881	0.0301323	0.07099	0.0596651	0.32934	0.896581	2.71441	5	3.362742
39000	-120.6273	-181.9877	61.36039	10	0.6410672	0.0104137	0.00715397	0.030467	0.0704589	0.0653028	0.0326848	0.0574126	0.0088816	0.0513488	0.13405	0.0590422	0.0620496	0.0712233	0.19399	0.00172447	0.224502	0.227149	0.253756	0.00500402	0.388001	0.683404	0.260196	0.0507693	0.0785596	0.011878	0.235949	0.17166	0.116592	0.328875	0.193626	0.117436	0.166365	0.00883966	0.0616737	0.334345	0.900906	2.70308	5	4.378766
40000	-111.9663	-179.2788	67.31247	10	1.398978	0.014262	0.0702186	0.209252	0.0623304	0.137232	0.169128	0.106375	0.0426722	0.25794	0.0317041	0.0446659	0.019694	0.0396296	0.0761443	0.0898411	0.0626473	0.261938	0.0342732	0.00270341	0.0151743	0.0953613	0.119735	0.0530464	0.0897334	0.30521	0.0635299	0.316843	0.00271842	0.0640152	0.013105	0.26544	0.0152136	0.00187445	0.209286	0.57083	1.04389	2.17599	5	3.153653
41000	-112.712	-180.3609	67.64891	10	0.446237	0.118516	0.00781463	0.172202	0.0438967	0.280455	0.0358222	0.0796882	0.0508452	0.059625	0.151106	0.0895072	0.0724489	0.18622	0.0360884	0.160892	0.24807	0.0171217	0.0267303	0.00446556	0.0950902	0.0445033	0.00072294	0.0213125	0.472713	0.187007	0.291742	0.0116648	0.0426738	0.0720559	0.0643329	0.137782	0.246462	0.00151394	0.0239105	0.215377	0.776833	2.98388	5	3.531092
42000	-126.1004	-179.7263	53.62587	10	0.2134019	0.0635941	0.0263039	0.0338121	0.309154	0.0185845	0.0113832	0.0899851	0.0898628	0.0226335	0.013535	0.086218	0.0668636	0.0247475	0.337911	0.0901894	0.0416424	0.0720342	0.00438251	0.197566	0.00801618	0.288732	0.00886281	0.374746	0.223471	0.1648	0.217542	0.0285541	0.0483931	0.063316	0.0677159	0.0143877	0.237525	0.508118	0.000819489	0.0418471	0.417722	3.53961	5	3.854582
43000	-107.0428	-177.8057	70.76293	10	1.005155	0.0955943	0.00484688	0.117678	0.0326442	0.0573121	0.0284787	0.0849206	0.00946112	0.100109	0.088071	0.0306712	0.0295355	0.159156	0.0819073	0.0366404	0.0347618	0.0564957	0.148155	0.110507	0.587979	0.208513	0.014121	0.0842798	0.0167572	0.0254876	0.172827	0.0334238	0.295747	0.337554	0.00721342	0.0018863	0.107672	0.00408189	0.137981	0.478296	1.00085	2.38287	5	3.204489
