Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
35000	-210.237	-243.8496	33.61264	10	2.221889	0.00175691	0.0373371	0.0278188	0.000142486	0.00258925	0.168158	0.000464751	0.0242487	0.00355433	0.00076734	0.0108429	0.000871455	0.0240552	0.0176985	0.00828414	0.0738171	0.0526183	0.172787	1.10128	0.121515	0.0134785	0.0374096	0.0332522	0.00936838	0.0166844	0.316848	0.043424	0.318397	0.676709	1.07467	1.93023	5	2.321077
36000	-185.2028	-230.9077	45.70492	10	1.425412	0.199776	0.0721806	0.000415056	0.000101827	0.00157977	0.0449283	0.00238665	0.00536299	0.00849295	0.00102152	0.00929383	0.00768085	0.00183162	0.014347	0.0164774	0.000427371	0.0223365	0.0312948	0.00281846	0.396776	0.124232	0.100165	0.0166043	0.0455415	0.0102568	0.0199368	0.0142387	0.213567	0.575651	1.04572	2.16506	5	1.170504
37000	-210.172	-243.159	32.98698	10	2.155144	0.254745	0.102178	0.0136485	0.0103005	0.0121503	0.0645342	0.00945543	0.00064885	0.0472014	0.0146351	0.02744	0.00563034	0.011213	0.0125469	0.0175182	0.00574252	0.0580087	0.0303821	0.944374	0.0576094	0.0217513	0.0256411	0.0141014	0.0497607	0.00215547	0.179007	0.127923	0.311117	0.670559	1.07343	1.9449	5	2.120302
38000	-203.0742	-242.1777	39.10355	10	3.753369	0.52898	0.0761398	0.0201055	0.00473859	0.000861869	0.0461915	0.00662332	0.0217669	0.00028137	0.00250631	0.0456905	0.00583743	0.0030338	0.0136878	0.0418012	0.0354877	0.0371676	0.000341763	0.223772	0.0294759	0.0290497	0.0112705	0.235854	0.00422663	0.053238	0.013242	0.0725247	0.440278	0.766224	1.08435	1.70915	5	1.563897
39000	-205.313	-239.567	34.25401	10	3.38137	0.408115	0.118449	0.0168036	0.0131743	0.0172441	0.0101303	0.035859	0.0120689	0.0127973	0.00221829	0.0291817	0.00209155	0.011662	0.0133261	0.0404184	0.237192	0.051416	0.0173956	0.00673932	0.136582	0.021219	0.0112043	0.182642	0.0222273	0.46533	0.0473192	0.0320939	0.416771	0.750673	1.08385	1.74871	5	1.974901
40000	-191.9932	-233.3478	41.35456	10	0.9979626	0.461602	0.0825139	0.00619094	0.000763601	0.00547212	0.00689742	0.00089338	0.0156207	0.0171834	0.00449521	0.00791912	0.0116213	0.00131244	0.016485	0.00757775	0.0196912	0.0773592	0.0151187	0.457388	0.0408603	0.0337366	0.00380924	0.103587	0.0111916	0.0135571	0.00889606	0.0890243	0.136547	0.476139	0.999662	2.38765	5	1.520768
41000	-220.3715	-244.0764	23.70483	10	2.049133	0.244123	0.0781906	0.00246743	0.00327312	0.0128952	0.0156798	0.035757	0.0198333	0.00248286	0.00785992	0.0578026	0.00129861	0.0125076	0.0128026	0.0114211	0.109018	0.0095887	0.0304979	0.0231109	1.41033	0.0664971	0.29135	0.203824	0.0720586	0.0853092	0.00621748	0.0277727	0.29907	0.660139	1.07117	1.96962	5	2.853967
42000	-198.9711	-237.7065	38.73549	10	2.406917	0.125679	0.16903	0.0113645	0.0136463	0.0342098	0.00286428	0.0185145	0.00214726	0.00257689	0.00297911	0.00887429	0.0113008	0.0145964	0.000686894	0.0186759	0.192283	0.134774	0.0103032	0.0589251	0.337043	0.0204099	0.00351118	0.0256291	0.0343573	0.00666621	0.0463622	0.0744063	0.33745	0.692314	1.07749	1.89275	5	1.381816
43000	-195.1301	-235.2866	40.15653	10	1.649748	0.489634	0.0265128	0.00515495	0.00207563	0.00221264	0.0548547	0.0131543	0.0127576	0.00261719	0.0110372	0.0359407	0.00465735	0.0170904	0.00634655	0.0166536	0.0105005	0.00695699	0.0578344	0.481083	0.00958197	0.136969	0.0577634	0.0026141	0.00702708	0.0328715	0.223172	0.0127216	0.247556	0.611722	1.05813	2.0826	5	1.739795
44000	-206.8616	-242.2357	35.37413	10	3.450969	0.507096	0.118766	0.0131311	0.0190844	0.016754	0.0406644	0.0312245	0.0118838	0.0134052	0.00310754	0.0209791	0.00868066	0.00803099	0.00226631	0.0140488	0.0115542	0.0353617	0.0230471	0.198285	0.0191001	0.0775354	0.229565	0.153838	0.0792347	0.00949439	0.0249067	0.0564331	0.421397	0.753791	1.08399	1.74082	5	1.747479
