Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
30000	-322.5825	-369.6898	47.10726	10	2.794817	0.0690918	0.0356168	0.0952972	0.0596319	0.00828597	0.00966552	0.237845	0.046627	0.0175792	0.0924703	0.134237	0.0339783	0.00594716	0.0559259	0.277127	0.0373836	0.0098207	0.01184	0.0589372	0.042745	0.0531205	0.269621	0.0276098	0.0145262	0.104324	0.0460727	0.144828	0.277658	0.0503184	0.0631291	0.0186594	0.106966	0.546345	0.108518	0.0775163	0.0845422	0.00746284	0.372738	0.719495	1.0813	1.82647	5	3.341271
31000	-316.3547	-375.7713	59.41662	10	0.654372	0.0658687	0.055529	0.0668127	0.0138749	0.0348617	0.00712055	0.155177	0.041446	0.00139536	0.104957	0.074736	0.132687	0.0628861	0.0557527	0.232828	0.0398556	0.0112383	0.0514496	0.0370061	0.0247687	0.0120654	0.11219	0.0245122	0.0821896	0.200536	0.0386076	0.0592107	0.0833604	0.086214	0.0361499	0.0578964	0.0649829	0.392303	0.0288923	0.050957	0.184505	0.0608908	0.0644819	0.341182	0.906711	2.68763	5	2.845715
32000	-349.9279	-383.0166	33.08868	10	0.7554188	0.0998305	0.0675622	0.0283852	0.012449	0.087984	0.0191006	0.232412	0.0353973	0.0124498	0.0391701	0.267074	0.0461111	0.0161205	0.087166	0.407471	0.0768897	0.00478643	0.0576937	0.00747404	0.11138	0.0489653	0.0219825	0.0701931	0.0632372	0.612102	0.254541	0.0995568	0.0686353	0.0299958	0.0212364	0.0123498	0.215123	0.725604	0.034709	0.0267811	0.00226775	0.330672	0.0860438	0.388546	0.943793	2.58162	5	4.35486
33000	-333.6691	-379.7178	46.04868	10	1.609134	0.0814444	0.00729619	0.0699135	0.0198534	0.0261498	0.317036	0.117513	0.0264584	0.0770433	0.115298	0.0396451	0.206402	0.0311041	0.106716	0.117994	0.0275044	0.00859225	0.0153798	0.00396899	0.0364747	0.0147351	0.107835	0.0252203	0.0082443	0.084822	0.241955	0.240787	0.137397	0.0517304	0.0219493	0.359749	0.0241847	0.0104077	0.0850277	0.541426	0.159231	0.054546	0.2417	0.605768	1.05624	2.0963	5	3.621034
34000	-329.4207	-376.773	47.35235	10	1.672445	0.0243185	0.0486155	0.119301	0.0234197	0.0354683	0.000189846	0.157956	0.0712942	0.125269	0.0479929	0.079963	0.113097	0.0279373	0.158231	0.28864	0.0700185	0.0728583	0.0349647	0.00525682	0.0347706	0.0328531	0.0667917	0.0195384	0.0124896	0.0114463	0.16713	0.0755601	0.211471	0.187528	0.330073	0.22003	0.0334814	0.0177381	0.0587482	0.607868	0.291979	0.0142185	0.250775	0.614952	1.05913	2.07515	5	3.898505
35000	-334.2158	-373.6361	39.42033	10	3.793946	0.086134	0.0634376	0.0279304	0.0793331	0.0732611	0.00438447	0.164189	0.0892761	0.0425509	0.148864	0.20924	0.0577057	0.00412005	0.0391507	0.285707	0.0531796	0.0392207	0.0424433	0.0134934	0.0524724	0.280092	0.0615233	0.0128923	0.00115875	0.116236	0.224995	0.158987	0.0687521	0.0765819	0.0926009	0.14105	0.0296714	0.0618699	0.00154687	0.517951	0.255751	0.19773	0.442672	0.767768	1.08437	1.70519	5	3.875482
36000	-326.5947	-385.3337	58.739	10	0.6203693	0.00533232	0.061289	0.102604	0.00877201	0.12563	0.0559267	0.178262	0.0335762	0.0420535	0.0574021	0.0470585	0.0414032	0.0193117	0.0235614	0.178615	0.0291749	0.0736552	0.0438078	0.00158374	0.0813327	0.00740723	0.0448554	0.00439092	0.0362537	0.175662	0.0427204	0.415261	0.328887	0.0620484	0.00724486	0.024896	0.0768197	0.00771463	0.0175687	0.366986	0.00718843	0.177552	0.0573345	0.323407	0.891365	2.72789	5	3.013808
37000	-312.9299	-369.144	56.21409	10	0.8076187	0.0668972	0.020894	0.0581484	0.00465773	0.00392934	0.0127713	0.0885447	0.00499207	0.0197972	0.116973	0.0352458	0.00240193	0.0186416	0.109922	0.17995	0.0716877	0.000660227	0.00750185	0.0302263	0.0373361	0.0230472	0.038324	0.0788479	0.0864477	0.407483	0.201996	0.0760457	0.361407	0.0428089	0.196109	0.0642192	0.054831	0.0368258	0.00210637	0.274687	0.270633	0.0525953	0.0971789	0.410183	0.959044	2.53359	5	3.159594
38000	-326.1679	-368.7265	42.55864	10	1.833538	0.11552	0.041124	0.0821342	0.0209204	0.0946094	0.00378673	0.485169	0.118601	0.0101183	0.101644	0.226233	0.0688733	0.00346958	0.0525014	0.441552	0.040724	0.0343945	0.0401155	0.00170669	0.0718982	0.0165468	0.11805	0.00032973	0.0630996	0.406502	0.388578	0.226658	0.129308	0.0969479	0.0702305	0.0923252	0.00451212	0.057478	0.110088	0.59789	0.0650484	0.0773599	0.27256	0.636059	1.06521	2.02618	5	4.576049
39000	-337.178	-385.4382	48.2602	10	0.6775371	0.0534033	0.0146671	0.129384	0.0121432	0.257863	0.121374	0.189259	0.0583909	0.0337362	0.190131	0.0583948	0.154231	0.0869502	0.0490915	0.189813	0.0695202	0.00466018	0.012847	0.00684343	0.0583065	0.0798442	0.00495475	0.200334	0.0227718	0.334399	0.19238	0.307415	0.00227048	0.210264	0.0113525	0.042896	0.00730679	0.0643366	0.0633365	0.363663	0.0387174	0.102867	0.0693981	0.352736	0.916251	2.66161	5	3.80012
