Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
31000	-108.7909	-195.1954	86.40451	0.2	1.759108	0.386744	0.13008	0.0918158	0.0268795	0.0267003	0.0374234	0.198333	0.0139636	0.0110475	0.00732715	0.0101212	0.0433945	0.0749281	0.0492314	0.0132302	0.028572	0.00149988	0.0376144	0.00698877	0.0564381	0.0752955	0.0113113	0.329777	0.247722	0.110732	0.042415	0.113917	0.141348	0.370223	0.0675249	0.00465126	0.124723	0.0204459	0.232098	0.0801599	0.26272	0.626682	1.0626	2.048	2	3.224674
32000	-126.8946	-207.2096	80.315	0.2	3.547228	0.154945	0.242992	0.271474	0.0624293	0.0238878	0.0147795	0.124633	0.00055197	0.0295331	0.150999	0.0166524	0.0152676	0.0381654	0.0375891	0.0100869	0.100876	0.0454284	0.0026259	0.0228392	0.14722	0.0271256	0.065976	0.0663581	0.233731	0.0914292	0.0333414	0.0665981	0.140255	0.0381583	0.132533	0.195103	0.0201169	0.138779	0.0323646	0.161504	0.427616	0.757936	1.08415	1.7303	2	2.956349
33000	-52.51603	-190.1411	137.6251	0.2	1.483272	0.251366	0.118409	0.0752944	0.0338048	0.0435465	0.0209238	0.0639588	0.0205204	0.0457177	0.0846254	0.0323581	0.0218322	0.0852231	0.0308597	0.00519984	0.0439604	0.013873	0.0264211	0.0028897	0.00851779	0.0870888	0.0416777	0.0324803	0.158656	0.0255435	0.320084	0.0740618	0.161079	0.206443	0.024757	0.275203	0.0474483	0.101207	0.162714	0.122605	0.222727	0.585748	1.04942	2.1421	2	2.87035
34000	-92.74488	-191.0572	98.31232	0.2	1.90258	0.1877	0.171124	0.00438362	0.0174519	0.177818	0.00933629	0.0377062	0.0490714	0.0315725	0.00925096	0.00149478	0.0942194	0.0528973	0.0626584	0.0276893	0.0117147	0.0157516	0.0126325	0.00496577	0.310743	0.213663	0.343262	0.0403539	0.457256	0.0161865	0.346847	0.0132065	0.00285078	0.316027	0.0691355	0.223093	0.162838	0.30365	0.0320265	0.0371451	0.281361	0.644238	1.06735	2.00705	2	3.867723
35000	-79.57284	-194.5727	114.9999	0.2	1.164153	0.225639	0.0572992	0.0314072	0.105809	0.0653505	0.0427619	0.158801	0.0120678	0.129541	0.0255237	0.00666526	0.0743982	0.00476054	0.00168109	0.00584163	0.0373329	0.00783569	0.0197812	0.0198334	0.322656	0.290147	0.170722	0.0545544	0.136411	0.0989749	0.130413	0.131834	0.00642054	0.0214561	0.00845973	0.27435	0.1512	0.112829	0.165815	0.53903	0.168497	0.521084	1.02264	2.28777	2	3.647603
36000	-84.58499	-193.6312	109.0463	0.2	1.858199	0.338596	0.0239681	0.185032	0.198501	0.00805169	0.0653833	0.0945136	0.00458373	0.00368182	0.0489529	0.0216956	0.0680493	0.00552374	0.0925246	0.0167987	0.00130311	0.0205185	0.0133641	0.0162449	0.0792847	0.101645	0.114837	0.107251	0.091098	0.0408316	0.069991	0.100527	0.0793864	0.500114	0.0491783	0.446565	0.00932522	0.102929	0.31517	0.0537653	0.275739	0.639035	1.066	2.01923	2	3.489183
37000	-80.8558	-190.2898	109.434	0.2	1.265468	0.100472	0.161914	0.102905	0.0426597	0.117137	0.0339484	0.160063	0.021083	0.00833467	0.0149408	0.00143863	0.0925393	0.0776635	0.0451418	0.0616272	0.000537962	0.0380112	0.00476407	0.0293374	0.0912498	0.344263	0.0386457	0.347308	0.0244976	0.288248	0.0216829	0.2848	0.120616	0.0330931	0.277217	0.0161242	0.16807	0.157575	0.0313037	0.0107563	0.186717	0.544214	1.03306	2.236	2	3.369968
38000	-96.05986	-199.7496	103.6898	0.2	2.408639	0.13091	0.154342	0.13163	0.103112	0.056233	0.0931099	0.394363	0.0822014	0.00384437	0.015826	0.0119638	0.0861362	0.0206018	0.00217196	0.0421974	0.0489596	0.000662744	0.0382878	0.0719949	0.0509341	0.0138203	0.00906602	0.426637	0.270649	0.226686	0.100445	0.084358	0.0473139	0.308048	0.0857948	0.215939	0.0699161	0.00144408	0.131373	0.164337	0.33762	0.69245	1.07751	1.89242	2	3.69531
39000	-112.5225	-201.1296	88.60713	0.2	0.6017761	0.0105965	0.199178	0.0078922	0.0314272	0.0108783	0.260831	0.0739166	0.256381	0.0514047	0.0268442	0.0110667	0.076289	0.0671835	0.0118832	0.017133	0.00314425	0.0311259	0.0639239	0.0681601	0.0957938	0.059652	0.047837	0.0446689	0.338282	0.304901	0.302906	0.30982	0.170476	0.0489135	0.105222	0.210478	0.117969	0.037958	0.118171	0.0587103	0.0534746	0.313258	0.882222	2.75105	2	3.651018
40000	-91.22875	-202.7208	111.492	0.2	1.224257	0.0616247	0.00508812	0.092778	0.0500945	0.171708	0.0286063	0.046187	0.00844495	0.0262038	0.0364109	0.00430409	0.0556749	0.020619	0.0171546	0.0129371	0.0722505	0.00431343	0.035874	0.00149549	0.0493529	0.114503	0.387215	0.0120764	0.267936	0.255155	0.0884836	0.159469	0.435243	0.313969	0.0701159	0.0403868	0.0350491	0.0361288	0.0389619	0.152217	0.179421	0.535144	1.02909	2.25634	2	3.208032
41000	-113.8592	-198.6102	84.75103	0.2	1.091751	0.186536	0.664043	0.369246	0.254008	0.193273	0.0162489	0.224644	0.0406865	0.0128001	0.0260227	0.00183284	0.0104669	0.104852	0.00331655	0.00515387	0.0435678	0.129194	0.00930131	0.0133975	0.0489952	0.154801	0.0467924	0.0253754	0.118598	0.150771	0.23522	0.258169	0.0251431	0.0847216	0.099019	0.0176359	0.32921	0.0395245	0.060372	0.0185742	0.154889	0.502693	1.01368	2.32874	2	4.021511
42000	-98.12203	-197.0618	98.93978	0.2	1.250454	0.213272	0.625908	0.0496939	0.0699606	0.0117995	0.0698534	0.148022	0.00903807	0.044622	0.0559772	0.0136383	0.0443546	0.169448	0.0144683	0.0097819	0.0507384	0.0389959	0.0200598	0.00272193	0.108391	0.100546	0.0814495	0.0925238	0.00423644	0.024931	0.0883207	0.206352	0.131421	0.0790267	0.207364	0.195884	0.27305	0.0508019	0.0392609	0.53423	0.184077	0.540961	1.03166	2.24331	2	3.880143
43000	-87.13178	-193.4526	106.3209	0.2	2.426347	0.340885	0.0578292	0.054399	0.121012	0.00394575	0.0375502	0.0593477	0.00296062	0.0526801	0.031569	0.0115185	0.039768	0.0102231	0.0419746	0.0169693	0.0662748	0.0564473	0.0070556	0.0182446	0.424852	0.0332753	0.129101	0.326335	0.20122	0.016957	0.159407	0.126112	0.270213	0.205052	0.0057413	0.169329	0.0566011	0.162358	0.0782454	0.0339918	0.339361	0.693841	1.07774	1.88906	2	3.429445
44000	-96.56466	-200.1861	103.6215	0.2	0.7781971	0.0671816	0.0797925	0.0557526	0.0392951	0.0571997	0.0301975	0.0629919	0.00717904	0.00722479	0.0330453	0.0401079	0.0498478	0.106388	0.00577924	0.138888	0.000577551	0.0201803	0.0286115	0.00387111	0.0163326	0.282568	0.0923073	0.099858	0.255827	0.00423405	0.0327948	0.115862	0.0450944	0.334697	0.0722592	0.0727604	0.208094	0.0569056	0.00521245	0.199983	0.0909116	0.398206	0.950726	2.56016	2	2.728902
